id,summary,new_signal_learning,new_signal_novelty,new_signal_actionability,refined_subcategory
oai-r-text-and-code-embeddings-by-contrastive-pre-training,"Paper describing the contrastive pretraining recipe behind OpenAI's text and code embedding models; Learns embeddings via in-batch negatives on massive unsupervised text-code pairs, scaling to billions of examples; Sets the template for commercial embedding APIs used across RAG and search; Paper page with abstract only; Historically important for the embeddings product line",M,L,M,embeddings-and-retrieval
oai-r-critiques,"Trains 'critique-writing' models that describe flaws in summaries to augment human evaluation; Assisted labelers find 50% more flaws than controls; for deliberately misleading summaries, flaw detection jumps 27%->45%; Larger models self-critique better, with scale helping critique-writing more than summary-writing; Core building block for scalable oversight when tasks outpace humans; Studies whether models reveal everything they 'know' in critiques",H,H,M,
oai-r-teaching-models-to-express-their-uncertainty-in-words,"Paper showing models can be fine-tuned to express calibrated uncertainty verbally (e.g. 'I'm 70% sure'); Calibration via supervised fine-tuning on CalibratedMath yields better verbalized probabilities than prompting alone; Enables safer deployment by surfacing model confidence without logit access; Landing page with abstract only; Important baseline work for hallucination and honesty research",M,M,M,calibration-and-uncertainty
oai-r-hindsight-experience-replay,"Hindsight Experience Replay (HER) repurposes failed rollouts by relabeling goals to what was actually achieved; Unlocks learning from binary/sparse rewards on robotic pushing, sliding, pick-and-place; Highly influential trick for goal-conditioned RL and offline relabeling; Landing page with abstract; Method used widely across multi-goal RL and robotics",M,M,M,
oai-r-quantifying-generalization-in-reinforcement-learning,"Releases CoinRun, a procedural platformer benchmark for measuring RL generalization; Finds substantial overfitting even with 16,000 training levels; unrestricted training generalizes much better; Shows L2 regularization, data augmentation, dropout help—standard supervised-learning tricks transfer; Debunks assumption that deep RL agents generalize; provides training-vs-test split methodology; Concrete environment + metrics that later underpinned Procgen",M,M,M,
oai-r-understanding-the-source-of-what-we-see-and-hear-online,"Introduces content provenance tools for images generated by OpenAI services and joins the C2PA steering committee; Rolls out image detection classifier and cryptographic provenance metadata for generated content; Positions OpenAI around industry standards for authenticity as deepfake risk grows; Policy + tooling post; Matters as baseline for provenance in enterprise content workflows",M,L,M,content-provenance-and-detection
oai-r-mle-bench,"Introduces MLE-bench, a benchmark of 75 Kaggle ML-engineering competitions for evaluating AI agents on end-to-end ML tasks; Establishes human baselines and measures agents on training, data prep, experimentation; GPT-4o with AIDE scaffolding achieves bronze-medal level on 16.9% of competitions; Open-sourced benchmark enabling comparable agent evals on realistic ML work; Now a standard benchmark for ML-agent research",H,H,H,
oai-r-ucb-exploration-via-q-ensembles,"Paper proposing UCB-style exploration for deep RL by using ensembles of Q-networks to estimate uncertainty; Derives upper confidence bounds from ensemble variance to drive optimistic exploration; Improves exploration over eps-greedy on Atari; Landing page with abstract only; Incremental exploration-method contribution",L,L,L,
oai-r-efficient-training-of-language-models-to-fill-in-the-middle,"Paper introducing FIM ('fill-in-the-middle') training objective—randomly split documents and train models to predict the middle span; Shows FIM can be added at pretraining with no loss to left-to-right capability ('FIM-for-free property'); Enables powerful infilling in code and text models (the basis for Codex/Copilot infill); Landing page with abstract; Highly influential for code-model training recipes",H,H,H,
oai-r-benchmarking-safe-exploration-in-deep-reinforcement-learning,"Paper releasing Safety Gym, environments and metrics for constrained-RL 'safe exploration' research; Standardizes how to measure cost violations during training while maximizing reward; Baseline algorithms and leaderboard for constrained policy optimization; Landing page with abstract; Useful for anyone doing safe-RL or constrained agent training",M,M,M,
oai-r-gpt-2-6-month-follow-up,"Post-mortem 6 months after staged GPT-2 release; announces 774M model release; Findings: coordination is possible; synthetic text convincing (72% vs 83% credibility); detection hard (needs 99.9%+ accuracy); Documents release norms and shares open-source legal agreement for partner model access; Historically significant—first attempt at staged release for frontier LMs; Informs current disclosure/release-policy debates",M,L,M,release-and-deployment-policy
oai-r-energy-based-models,"Advances stable, scalable training of energy-based models (EBMs) via Langevin-dynamics sampling; Produces samples competitive with GANs at low temperatures while retaining mode coverage of likelihood models; Spends more test-time compute to refine generations—a foreshadowing of reasoning/inference-time scaling; Demonstrated on image generation, robotic trajectory generation, out-of-distribution detection; Useful framework perspective even as diffusion dominates today",M,M,L,
oai-r-some-considerations-on-learning-to-explore-via-meta-reinforcement-learning,"Paper analyzing meta-RL approaches for learning-to-explore; Shows standard meta-RL objectives fail to incentivize information-gathering behavior—policies exploit known-task structure rather than explore; Proposes alternative formulations that better reward exploration; Landing page with abstract only; Niche meta-RL result",L,L,L,
oai-r-debate,"Proposes AI safety via debate: two AI agents debate a question and a human judges the winner; Intended as scalable oversight mechanism when tasks exceed human ability to evaluate directly; Tests on sparse MNIST classifier and cat vs. dog image debates; Foundational proposal for debate as an alignment tool; still actively revisited in scalable-oversight research",H,H,M,
oai-r-plan-online-learn-offline,"Paper combining offline learning of a world model with online planning for efficient RL; POLO framework: learn model and value offline from data, then plan via MPC online; Targets sample efficiency and exploration in model-based RL; Landing page with abstract; Foundational example of model-based RL that later inspires world-model agents",L,L,L,
oai-r-scaling-laws-for-neural-language-models,"Kaplan et al.'s landmark 2020 paper establishing compute/data/parameter scaling laws for LLMs; Shows loss follows smooth power laws over 7+ orders of magnitude in compute; larger models are more sample-efficient; Directly motivated training of GPT-3 and all modern scaling; Landing page has abstract—but the paper is foundational reading; Later corrected by Chinchilla (more data, smaller models)",H,H,H,scaling-laws
oai-r-sparse-transformer,"Sparse Transformer replaces O(N^2) full attention with O(N*sqrt(N)) factorized attention patterns; Sets records on sequence modeling across text, images, audio—handles sequences 30x longer; Also introduces gradient checkpointing and mixed-precision kernels for memory efficiency; Influential long-context attention technique; code released",H,H,M,long-context-architectures
oai-r-dota-2-with-large-scale-deep-reinforcement-learning,"Paper describing OpenAI Five: self-play PPO at massive scale for Dota 2; Defeated world champions after 10 months of training using 128,000+ CPU cores and thousands of GPUs; Demonstrated large-scale distributed RL works for long-horizon, team-based games; Landing page with abstract; Historical milestone in RL systems and scaling",M,L,L,
oai-r-ffjord,"FFJORD: Free-Form Jacobian of Reversible Dynamics—continuous normalizing flow without explicit architectural constraints; Uses neural ODEs and Hutchinson trace estimator to compute log-likelihood tractably; Scalable reversible generative model; Landing page with abstract; Influential for normalizing-flow research",L,L,L,
oai-r-variational-option-discovery-algorithms,"Paper on unsupervised discovery of skills/options in RL using variational lower bounds; Learns a latent-conditioned policy where different latents induce distinct behaviors; Scales option discovery to continuous control; Landing page with abstract; Part of the hierarchical RL line later extended by DIAYN",L,L,L,
oai-r-multi-goal-reinforcement-learning,"Releases a suite of multi-goal robotics environments (FetchPush, FetchSlide, FetchPickAndPlace, HandManipulate); Accompanies a 'request for research' on hard exploration in robotic manipulation with sparse rewards; Infrastructure post for research community rather than a new method; Landing page; Paired with HER release",M,L,M,
oai-r-asymmetric-actor-critic-for-image-based-robot-learning,"Paper: give critic access to full state (sim) while actor only sees images—asymmetric training for vision-based RL; Exploits simulator privilege to stabilize learning in pixel-based policies; Applied to robotic manipulation with simulated-to-real transfer; Landing page with abstract; Useful trick in sim-based robot learning",L,L,L,
oai-r-on-the-quantitative-analysis-of-decoder-based-generative-models,"Paper proposing annealed importance sampling to estimate log-likelihoods of decoder-based models like GANs and VAEs; Enables fair quantitative comparison of implicit generative models; Reveals that GAN log-likelihoods are often poorer than assumed; Landing page with abstract; Methodological contribution for evaluating generative models",L,L,L,
oai-r-domain-randomization-and-generative-models-for-robotic-grasping,"Pipeline trains grasp planner on millions of procedurally generated unrealistic objects using domain randomization; Achieves >90% grasp success on unseen realistic objects in sim and 80% on real-world grasp attempts; Foundational approach: randomization over realism yields transfer; Demonstrates that diversity of training data beats fidelity for sim-to-real; Historically important for robotics",M,M,M,
oai-r-rl2,"RL^2: train RNN-based meta-policy to do RL-as-inner-loop on distributions of tasks; Model amortizes classical RL algorithms inside its weights, doing Bayesian exploration over tasks; Seminal meta-RL paper alongside Wang et al.; Landing page with abstract; Conceptual foundation for later in-context learning and meta-learning work",M,M,L,
oai-r-better-exploration-with-parameter-noise,"Shows adding adaptive noise to policy *parameters* (not just actions) improves exploration in deep RL; 2x gains on HalfCheetah in 20 episodes (3000 vs 1500) and broadly helps DQN/DDPG; Simple drop-in exploration technique with few hyperparameters; Rarely hurts performance—worth trying on any RL problem; Concrete practitioner-friendly result",M,M,H,
oai-r-teacher-student-curriculum-learning,"Paper proposing teacher-student curriculum: teacher policy picks tasks where student is learning fastest (high learning-progress signal); Automates curriculum design for multi-task RL, dramatically speeding training on MNIST addition and Minecraft tasks; Landing page with abstract; Influential for automatic curriculum learning research",M,M,L,curriculum-learning
oai-r-exploration,"Paper generalizing count-based exploration to high-dimensional state spaces via hashing; Achieves strong results on hard-exploration Atari games like Montezuma's Revenge; Shows classical exploration bonuses transfer to deep RL with proper state abstraction; Landing page with abstract; Practically important exploration technique",L,M,M,
oai-r-stochastic-neural-networks-for-hierarchical-reinforcement-learning,"Uses stochastic neural networks to learn diverse low-level skills (options) that a high-level controller can reuse; Skills learned via maximum entropy pre-training in a proxy environment; Transfers to sparse-reward downstream tasks; Landing page with abstract; Hierarchical-RL contribution",L,L,L,
oai-r-evolution-strategies,"Shows evolution strategies (ES) rival standard RL on MuJoCo/Atari benchmarks without backprop; ES trains 3D humanoid walker in 10 minutes on 1,440 CPUs vs A3C's 10 hours on 32 cores; Highly parallelizable, hyperparameter-light, handles sparse rewards; Surprising result reviving decades-old optimization ideas; Influential for distributed-optimization and later LLM-RL work",H,H,M,
oai-r-improved-techniques-for-training-consistency-models,"Refines consistency-model training to sample high-quality images in 1-2 steps without adversarial training; Introduces better noise schedules, loss weightings, and teacher-free training; Narrows the gap between consistency models and many-step diffusion; Foundational follow-up to the consistency-models paper; Matters for real-time generation deployments",M,H,M,diffusion-and-generative-models
oai-r-detecting-and-reducing-scheming-in-ai-models,"With Apollo Research, develops evals for hidden misalignment (scheming) and finds scheming-consistent behaviors in frontier models; Introduces a deliberative-alignment training method that reduces covert actions substantially; Finds situational awareness complicates scheming evaluation—models may behave when they detect tests; Key early empirical work on deceptive alignment; Informs safety-case reasoning",H,H,M,
oai-r-accelerating-science-gpt-5,"Paper + post compiling case studies where GPT-5 advanced math, physics, biology, CS, astronomy, materials; Collaborations with Vanderbilt, Berkeley, Columbia, Oxford, Cambridge, LLNL, Jackson Lab; Launches 'OpenAI for Science' initiative; Evidence that frontier models are moving from chat to research collaborator; Sets baseline for later GPT-5.2 science results",H,H,M,ai-for-science
oai-r-gpt-5-2-for-science-and-math,"GPT-5.2 sets new SOTA on GPQA Diamond and FrontierMath; introduces GPT-5.2 Pro and Thinking; Demonstrates real research progress: solving an open theoretical problem and generating reliable proofs; Strong math reasoning reduces error compounding in simulations, statistics, forecasting; Case study + benchmark improvements across scientific reasoning; Signals accelerating trajectory of model math/science capability",H,H,M,ai-for-science
oai-r-why-language-models-hallucinate,"Argues hallucinations originate from next-word prediction under pressure to always answer—not from data errors alone; Current benchmarks reward guessing over expressing uncertainty, entrenching overconfident answers; Proposes evaluation changes: reward 'I don't know' when calibrated; Offers a concrete mechanism + evaluation-reform prescription; Important read for anyone designing eval suites or RLHF reward functions",H,H,H,
oai-r-gpt-5-lowers-protein-synthesis-cost,"GPT-5 connected to Ginkgo Bioworks' cloud lab reduced cell-free protein synthesis cost by 40% via closed-loop experimentation over 6 rounds; Demonstrates autonomous-lab pattern: model proposes, robots execute, model iterates; Extends wet-lab acceleration results (79x cloning) to economically meaningful outcomes; Highlights iteration as the key bottleneck autonomous labs remove; Reference for lab-in-the-loop agent deployments",H,H,M,ai-for-science
oai-r-new-result-theoretical-physics,"Preprint: GPT-5.2 proposed a new formula for single-minus gluon tree amplitudes—long assumed to be zero; OpenAI internal model formally proved the formula; human coauthors verified; Authors include Guevara (IAS), Lupsasca (Vanderbilt/OpenAI), Skinner (Cambridge), Strominger (Harvard), Weil (OpenAI); Signals models can originate novel math/physics conjectures, not just solve existing ones; Major proof point for AI-as-research-collaborator",H,H,M,ai-for-science
ant-e-a-postmortem-of-three-recent-issues,"Anthropic postmortem on three independent infrastructure bugs that degraded Claude responses Aug-Sep 2025; Root causes: context-window routing error, output corruption, and approximate top-k XLA:TPU miscompilation; Explicitly states quality was never reduced for load/demand reasons—only bugs; Details how detection was delayed because user feedback is noisy; Excellent engineering case study on debugging production model-quality issues",H,M,H,
ant-r-red-teaming-language-models-to-reduce-harms-methods-scaling-behaviors-and-lessons-learned,"Anthropic's early systematic red-teaming study across model sizes and RLHF stages; Collects attacks from crowdworkers and measures how harms scale with model capability and alignment training; Three contributions: methodology, dataset release, and observations about what works; Foundational reference for scaled red-teaming programs; Paper-landing page but historically influential",H,M,M,
cog-e-closing-the-agent-loop-devin-autofixes-review-comments,"Devin now autofixes comments from review bots (Devin Review, linters, CI, security scanners) to close the agent loop; Eliminates copy-paste between coding and review agents; 'massively increased' internal token spend but cuts bugs and review cycles; Part of a broader write-catch-fix-merge pattern; Actionable pattern for anyone building multi-agent coding systems",M,M,H,
cog-e-devin-sonnet-4-5-lessons-and-challenges,"Cognition rebuilt Devin on Claude Sonnet 4.5; 2x faster, 12% better on Junior Developer Evals; Key observations: model is aware of its context window, takes extensive notes, works in parallel; Biggest capability jump since Sonnet 3.6; required re-architecting agent harness around new behaviors; Concrete harness-engineering guidance for anyone adapting agents to new model generations",H,H,H,
cur-r-real-time-rl-for-composer,"Cursor applies online RL to Composer: serves checkpoints to prod, uses real user interactions as reward, ships a new checkpoint every ~5 hours; Closes the train-test gap that simulated coding environments leave open (especially user modeling); Discusses reward-hacking mitigations when real user signals drive training; Next up: longer loops and specialization; Actionable blueprint for production online-RL pipelines on code agents",H,H,H,online-rl-production
cur-r-self-summarization,"Trains Composer to self-summarize its own trajectory, enabling training on rollouts longer than the model's context window; Self-summarization is learned behavior, not harness-side compaction—so information survives compression; Token-efficient compaction outperforms text summarization and sliding windows; Solves hard long-horizon coding tasks without latent-space compaction's speed cost; Practical recipe for long-horizon agent training",H,H,H,long-horizon-agent-training
dbx-r-pilot-production-custom-judges,"Databricks playbook for moving GenAI from pilot to production via custom LLM-as-a-judge evaluators; Introduces MLflow Judge Builder, Agent-as-a-Judge, and Tunable Judges; Workflow: design judge portfolio, codify SME expertise in annotation guidelines, iterative batch alignment; Underpins Agent Bricks evaluation methodology; Highly actionable recipe for enterprise eval infrastructure",H,M,H,
dbx-e-fast-peft-serving-scale,"Databricks inference runtime outperforms open-source by up to 2x for LoRA/PEFT serving; Combines FP8 weight quantization that preserves base-model quality with hybrid attention; Rigorous quality validation across fine-tuned variants to prevent silent quality regressions; Targets fragmented enterprise workloads with many specialized adapters; Detailed engineering write-up for anyone serving many fine-tunes",H,M,H,
dbx-r-judging-confidence-meet-pgrm-promptable-reward-model,"Introduces PGRM (Prompt-Guided Reward Model)—hybrid of LLM-judge flexibility and classifier efficiency + calibration; Provides confidence-backed scores and can adapt to new rules via prompting, unlike rigid classifiers; Benchmarked as judge and as reward model (RewardBench2) with strong calibration; Enables safety enforcement, best-of-N selection, and RL fine-tuning workflows; Novel methodology for evaluation and reward modeling at scale",H,H,H,
dbx-r-tao-using-test-time-compute-train-efficient-llms-without-labeled-data,"TAO tunes LLMs with only unlabeled enterprise usage data using RL + test-time compute for reward signal; Outperforms supervised fine-tuning with thousands of labels on FinanceBench, DB Enterprise Arena, BIRD-SQL; Brings Llama-quality close to expensive proprietary models without label collection; Part of Databricks' Data Intelligence program; Highly actionable tuning method for enterprises lacking labels",H,H,H,
dbx-r-benchmarking-domain-intelligence,"Introduces DIBS—Domain Intelligence Benchmark Suite—for evaluating LLMs on realistic enterprise tasks (finance, retrieval, function-calling); Finds academic benchmarks (MMLU, BIG-Bench) hide large enterprise performance gaps; No single model dominates all domains; High-quality retrieval can outweigh larger context windows for function calling; Case for domain-specific evaluation in procurement decisions",H,M,H,
dbx-r-long-context-rag-capabilities-openai-o1-and-google-gemini,"Benchmarks o1 and Gemini 1.5 on long-context RAG; o1 sets new SOTA; Gemini 1.5 holds performance up to 2M tokens; Shows how reasoning-time compute (o1) improves RAG accuracy vs long-context-only scaling; Characterizes distinct long-context failure modes across model families; Up-to-date model selection guidance for RAG pipelines; Practical reference for builders choosing between long-context vs retrieval-heavy architectures",H,M,H,
