id,new_focus_area,new_subcategory,summary
meta-r-practical-ai-agent-security,alignment-and-safety,safety-research-general,"Meta proposes 'Agents Rule of Two': a practical approach to mitigating prompt injection in AI agents; prompt injection is framed as fundamental and unsolved, where untrusted data in context can hijack agents to exfiltrate data or take unauthorized actions; uses an Email-Bot example (summarize inbox, send replies) to show attack surface; argues for constraining agent capability combinations so no single session has all three risky powers at once; safety/red-teaming-adjacent design principle for agent deployments."
meta-r-tribe-v2-brain-predictive-foundation-model,pretraining-and-architecture,model-research-and-applications,"Meta introduces TRIBE v2, a predictive foundation model that acts as a 'digital twin' of human neural activity; trained on fMRI data from 700+ volunteers responding to images, podcasts, videos, and text; claims 70x resolution increase and SOTA speed/accuracy vs similar models; open-releases model, code, paper, and interactive demo; aims to let neuroscientists test theories without human subjects and guide AI development from neuroscientific principles."
hf-r-nvidia-reachy-mini,,embodied-and-simulation,"HuggingFace + NVIDIA CES 2026 demo: bring a personal AI agent to life on DGX Spark running Reachy Mini robot; stack uses NVIDIA Nemotron 3 Nano (reasoning), Nemotron Nano 2 VL (vision), ElevenLabs TTS, running locally with ~65GB+28GB disk; step-by-step replication guide for an embodied 'desk R2D2' you can talk to; frames NVIDIA's open models (Nemotron, Isaac GR00T N1.6 VLA, Cosmos world models) as building blocks for embodied agents."
hf-r-intel-qwen3-agent,quantization-and-efficiency,post-training-quantization,"Intel + HF show how to accelerate Qwen3-8B as a local agent on Intel Core Ultra using OpenVINO.GenAI speculative decoding; starting from 4-bit optimized OpenVINO Qwen3-8B, add a lightweight Qwen3-0.6B draft model for ~1.3x speedup, then depth-prune the draft for ~1.4x; demonstrates the pipeline wired into smolagents for a fast local AI agent; primary contribution is speculative-decoding + pruning efficiency, hence post-training quantization/efficiency."
hf-r-jupyter-agent-2,,data-analyst-and-workflow-agents,"Follow-up to jupyter-agent v1: HF builds Jupyter Agent, an LLM that executes code in notebooks to solve data-analysis/data-science tasks (Cursor-like but native to notebooks); uses Qwen-3 Coder for the demo and focuses on strengthening smaller models via a train-data-generation + fine-tune + eval pipeline; benchmarks on DABStep for data-science agent capability; fits data-analyst-and-workflow-agents best given the notebook/data-science focus."
hf-r-synthetic-data-generator,post-training-and-fine-tuning,sft-and-instruction-tuning,"HF launches Synthetic Data Generator: no-code UI that turns a natural-language description into a custom dataset using distilabel and HF text-generation API; current tasks are text classification (requires categories) and chat datasets (conversations), with eval/RAG planned; target is making dataset creation accessible to non-technical users in minutes; classified as SFT/instruction-tuning since the generated datasets feed supervised fine-tuning pipelines."
hf-r-jat,,agent-research-applications,"HF releases Jack of All Trades (JAT), an open reproduction and extension of DeepMind's Gato; contributions: release of many expert RL policies across Atari/BabyAI/Meta-World/MuJoCo, the JAT dataset (hundreds of thousands of expert trajectories for generalist-agent training), and a multimodal Transformer agent capable of video games, robot control, navigation, and language; introduces improvements over Gato for sequential data and continuous-value handling; generalist agent research."
hf-r-cosmopedia,pretraining-and-architecture,data-and-tokenization,"HF introduces Cosmopedia, billions-of-tokens synthetic dataset generated to replicate Phi-1.5-style pretraining data; blog tackles challenges of scaling synthetic generation from thousands to millions of samples specifically for pre-training (not instruction tuning); outlines prompt design, deduplication, and topic coverage strategies; positions the release as a community alternative to closed Phi training data; primarily a pretraining-data/tokenization contribution."
hf-r-synthetic-data-save-costs,post-training-and-fine-tuning,distillation,"Case study: use an open-source LLM to generate synthetic labels, then train a small RoBERTa student on financial-sentiment task; resulting model matches GPT-4 accuracy (94%, 0.94 F1) while costing $2.7 vs $3061, with 0.12 kg vs ~735-1100 kg CO2 and 0.13s latency; argues synthetic-data distillation combines LLM convenience with specialized-model efficiency and control; classified as distillation since the workflow is teacher-LLM -> student classifier."
hf-r-llama-sagemaker-benchmark,,eval-systems-and-harnesses,"HF benchmarks Llama 2 deployment on Amazon SageMaker with HF LLM Inference Container across 60+ configs; measures latency (ms/token) and throughput (tok/s) to identify best deployments for three profiles: cost-effective, lowest-latency, highest-throughput; publishes code, raw data, and spreadsheet for reproducibility; infrastructure/eval harness oriented rather than model-capability benchmarking."
hf-r-aivsai,,leaderboards-and-community-evals,"HF releases 'AI vs. AI' on Spaces: a deep-RL multi-agent competition system consisting of a matchmaking Space, a results Dataset, and an ELO Leaderboard; users push trained policies to the Hub and they are auto-matched against others, producing relative skill rankings; first competition is SoccerTwos Challenge; pitched as both a community competition tool and a robust evaluation methodology for multi-agent RL via diverse-opponent play."
hf-r-dialog-agents,post-training-and-fine-tuning,rlhf-classic,"Survey-style post breaking down the techniques behind ChatGPT: RLHF, SFT, instruction fine-tuning (IFT), chain-of-thought, red teaming; compares LaMDA, BlenderBot 3, Sparrow, ChatGPT/InstructGPT, and Anthropic Assistant on access, data, architecture, and eval; synthesizes what is known and what remains open about making dialog agents useful; classified as rlhf-classic because the core framing is the RLHF pipeline behind ChatGPT."
hf-r-habana-gaudi-2-benchmark,,eval-systems-and-harnesses,"Hardware benchmark comparing Habana Gaudi2 vs Gaudi vs Nvidia A100 80GB on BERT pretraining, Stable Diffusion inference, and T5-3B fine-tuning using Optimum Habana; spoiler claim: Gaudi2 ~2x faster than A100 80GB for both training and inference; walks through Intel Developer Cloud access and Optimum Habana workflow; primarily an infra/hardware benchmark rather than model-capability eval."
hf-r-mteb,evals-and-benchmarks,benchmark-release,"Introduces MTEB (Massive Text Embedding Benchmark): 56 datasets across 8 embedding tasks (retrieval, STS, classification, clustering, reranking, etc.) with 2000+ results on the leaderboard; multilingual coverage up to 112 languages on Bitext Mining/Classification/STS; extensible design for new tasks/datasets; paper analyzes leaderboard results and model trade-offs; canonical benchmark-release post."
hf-r-zero-shot-eval-on-the-hub,,eval-systems-and-harnesses,"Adds zero-shot evaluation for causal LMs to HF 'Evaluation on the Hub' powered by AutoTrain; motivated by efforts like the Inverse Scaling Prize where zero-shot measurement across model sizes is central; enables any causal LM on the Hub to be evaluated zero-shot without writing code, including 66B-param models that normally take 35+ minutes just to load; infrastructure is upgraded to do this for free; eval harness/tooling contribution."
hf-r-eval-on-the-hub,,eval-systems-and-harnesses,"Announces Evaluation on the Hub (AutoTrain-powered) letting users evaluate any model on any dataset on the Hub with no code; motivation is the reproducibility/evaluation crisis: inconsistent implementations, self-reported results, metric sprawl; goal is community best-practices and lowering friction; (archived as of Nov 2023 with pointer to leaderboards collection); eval systems/harness post."
hf-r-codeparrot,,data-and-tokenization,"Step-by-step tutorial for training CodeParrot (GPT-2-scale code LM) from scratch to approximate GitHub Copilot behavior for Python; built a 180GB GitHub Python dataset via BigQuery, found extreme duplication (0.1% of files = 15% of corpus) and applied Codex-paper deduplication/cleaning to yield 50GB clean dataset on HF Hub; covers training a code-specific tokenizer from GPT-2 init and the model training loop; strongest fit is pretraining data-and-tokenization since data curation dominates."
hf-r-snowball-fight,,game-and-rl-agents,"HF launches its first custom Deep RL environment, Snowball Fight 1v1, built with Unity ML-Agents and playable on Spaces; announces a broader ecosystem for sharing custom ML-Agents environments, models, and demos on the Hub; invites community contributions and a Discord; agent/RL-environment tooling post oriented at hobbyist/game-RL community."
dm-r-a-generalist-agent,,agent-research-applications,"DeepMind introduces Gato, a single generalist multi-modal, multi-task, multi-embodiment transformer policy: same network/weights plays Atari, captions images, chats, stacks blocks on a real robot, etc.; tokenizes all modalities (actions, observations, text, images) into a flat sequence and trains via language-model-style next-token prediction with action/text losses; scales transformer recipe across many datasets; 1024-token context of observations and actions; landmark generalist-agent paper."
dm-r-creating-interactive-agents-with-imitation-learning,post-training-and-fine-tuning,sft-and-instruction-tuning,"DeepMind presents MIA (Multimodal Interactive Agent), trained via imitation learning in a 3D 'Playhouse' environment where humans and agents interact by locomoting, manipulating objects, and chatting; extends Abramson et al. 2020 by combining vision, language, navigation, and manipulation; produces a behavioral prior intended for later human-feedback refinement; SFT-style imitation learning on human-agent interaction traces, hence sft-and-instruction-tuning."
dm-r-discovering-when-an-agent-is-present-in-a-system,alignment-and-safety,safety-research-general,"DeepMind introduces a formal causal definition of agency: agents are systems that would adapt their policy if their actions influenced the world differently; uses causal influence diagrams (CIDs) to reason about incentives; provides an algorithm to discover agents from empirical data and a translation between causal models and CIDs; motivated by building safe/aligned AGI and resolving earlier modelling errors; classified under safety-research-general because framing is alignment/agent-incentive foundations."
dm-r-evaluating-multimodal-interactive-agents,evals-and-benchmarks,agent-evals,"DeepMind proposes the Standardised Test Suite (STS) for evaluating multimodal interactive agents in temporally extended 3D human interactions; replays behavioral scenarios mined from real human-human interactions, lets the agent take control to finish the interaction, and has human raters annotate success; rank agents by success rate across scenarios; argues Atari-style RL metrics don't work for fluid human interaction; classic agent-evals methodology contribution."
dm-r-introducing-codemender-an-ai-agent-for-code-security,,coding-agents,"DeepMind unveils CodeMender, an AI agent that autonomously finds and patches software security vulnerabilities using Gemini Deep Think reasoning; both reactive (patching new vulns) and proactive (rewriting code to eliminate vuln classes); has already upstreamed 72 security fixes to open source, including 4.5M-LOC projects; equipped with tools for reasoning about code before modifying; direct coding-agent application focused on security."
dm-r-learning-through-human-feedback,post-training-and-fine-tuning,rlhf-classic,"Foundational (2017) DeepMind+OpenAI collaboration demonstrating RL from human preferences: non-expert humans teach an RL agent complex goals (including backflips) by comparing short trajectory clips; as little as 30 minutes of feedback can suffice; removes need to hand-specify reward functions, which could otherwise be mis-specified with dangerous consequences; canonical RLHF precursor paper, hence rlhf-classic."
dm-r-navigating-with-grid-like-representations-in-artificial-agents,pretraining-and-architecture,model-research-and-applications,"DeepMind shows that artificial agents trained to perform path integration develop grid-cell-like hexagonal representations, matching a neural substrate discovered in mammals (2014 Nobel); uses these grid-like units to support vector-based navigation (direct 'as the crow flies' routing) in complex environments; frames results as evidence that grid cells enable vector-based navigation and as a bridge between deep RL and neuroscience; best fit is model-research-and-applications (representation learning with neuro analogue) rather than pure agent systems."
dm-r-safety-first-ai-for-autonomous-data-centre-cooling-and-industrial-control,,agent-research-applications,"DeepMind deploys a cloud-based AI control system that directly controls cooling in Google data centres (not just recommends), under operator supervision; every five minutes it ingests sensor snapshots and predicts energy outcomes of candidate action combinations via deep neural networks, then picks the minimal-energy action satisfying safety constraints; first-of-its-kind deployment delivering energy savings across multiple data centres; classified as agent-research-applications since it is a deployed autonomous control agent."
dm-r-sima-generalist-ai-agent-for-3d-virtual-environments,,embodied-and-simulation,"DeepMind introduces SIMA (Scalable Instructable Multiworld Agent), a generalist AI agent that follows natural-language instructions across many commercial 3D video games; partnered with game developers to train on varied games; focus is not score-maximization but instruction-following across diverse environments, as a path to useful embodied agents; positions video games as sandboxes for AI-agent research; embodied/simulation agent work."
dm-r-spurious-normativity-enhances-learning-of-compliance-and-enforcement-behavior-in-artificial-agents,,agent-research-applications,"DeepMind paper on multi-agent deep RL as a model of complex social interactions (norm formation); shows spurious norms (arbitrary rules with no intrinsic payoff) can accelerate learning of compliance-and-enforcement behaviors and thereby support emergence of socially beneficial norms; framed as a path to richer simulations of social-ecological systems (cooperation, resource management, governance); multi-agent RL research on social norm emergence."
dm-r-understanding-agent-cooperation,,multi-agent-orchestration,"DeepMind uses deep multi-agent RL to study emergence of cooperation via 'sequential social dilemmas' (repeated Prisoner's-Dilemma-like games with temporal structure); shows cooperation vs defection depends on environment structure and agents' cognitive capacity; aims to illuminate control of complex multi-agent systems (economy, traffic, climate); classic multi-agent cooperation research."
