id,company,current_focus_area,current_subcategory,title,url
ant-r-influence-functions,anthropic,pretraining-and-architecture,fallback-architecture,Tracing Model Outputs to the Training Data,https://www.anthropic.com/research/influence-functions
ant-r-measuring-faithfulness-in-chain-of-thought-reasoning,anthropic,pretraining-and-architecture,fallback-architecture,Measuring Faithfulness in Chain-of-Thought Reasoning,https://www.anthropic.com/research/measuring-faithfulness-in-chain-of-thought-reasoning
ant-r-towards-measuring-the-representation-of-subjective-global-opinions-in-language-models,anthropic,pretraining-and-architecture,fallback-architecture,Towards Measuring the Representation of Subjective Global Opinions in Language Models,https://www.anthropic.com/research/towards-measuring-the-representation-of-subjective-global-opinions-in-language-models
ant-r-interpretability-dreams,anthropic,pretraining-and-architecture,fallback-architecture,Interpretability Dreams,https://www.anthropic.com/research/interpretability-dreams
ant-r-the-capacity-for-moral-self-correction-in-large-language-models,anthropic,pretraining-and-architecture,fallback-architecture,The Capacity for Moral Self-Correction in Large Language Models,https://www.anthropic.com/research/the-capacity-for-moral-self-correction-in-large-language-models
ant-r-language-models-mostly-know-what-they-know,anthropic,pretraining-and-architecture,fallback-architecture,Language Models (Mostly) Know What They Know,https://www.anthropic.com/research/language-models-mostly-know-what-they-know
ant-r-softmax-linear-units,anthropic,pretraining-and-architecture,fallback-architecture,Softmax Linear Units,https://www.anthropic.com/research/softmax-linear-units
tm-r-on-policy-distillation,thinking-machines,alignment-and-safety,fallback-alignment,On-Policy Distillation,https://thinkingmachines.ai/blog/on-policy-distillation/
tm-r-modular-manifolds,thinking-machines,pretraining-and-architecture,fallback-architecture,Modular Manifolds,https://thinkingmachines.ai/blog/modular-manifolds/
tm-r-defeating-nondeterminism-in-llm-inference,thinking-machines,pretraining-and-architecture,fallback-architecture,Defeating Nondeterminism in LLM Inference,https://thinkingmachines.ai/blog/defeating-nondeterminism-in-llm-inference/
oai-r-gdpval,openai,evals-and-benchmarks,fallback-evals,Measuring the performance of our models on real-world tasks,https://openai.com/index/gdpval/
oai-r-ai-and-efficiency,openai,pretraining-and-architecture,fallback-architecture,AI and efficiency,https://openai.com/index/ai-and-efficiency/
oai-r-third-person-imitation-learning,openai,post-training-and-fine-tuning,fallback-post-training,Third-person imitation learning,https://openai.com/index/third-person-imitation-learning/
oai-r-reptile,openai,post-training-and-fine-tuning,fallback-post-training,Reptile: A scalable meta-learning algorithm,https://openai.com/index/reptile/
oai-r-adversarial-attacks-on-neural-network-policies,openai,alignment-and-safety,fallback-alignment,Adversarial attacks on neural network policies,https://openai.com/index/adversarial-attacks-on-neural-network-policies/
oai-r-learning-complex-goals-with-iterated-amplification,openai,post-training-and-fine-tuning,fallback-post-training,Learning complex goals with iterated amplification,https://openai.com/index/learning-complex-goals-with-iterated-amplification/
oai-r-ai-safety-needs-social-scientists,openai,alignment-and-safety,fallback-alignment,AI safety needs social scientists,https://openai.com/index/ai-safety-needs-social-scientists/
oai-r-computational-limitations-in-robust-classification-and-win-win-results,openai,pretraining-and-architecture,fallback-architecture,Computational limitations in robust classification and win-win results,https://openai.com/index/computational-limitations-in-robust-classification-and-win-win-results/
oai-r-forecasting-misuse,openai,alignment-and-safety,fallback-alignment,Forecasting potential misuses of language models for disinformation campaigns and how to reduce risk,https://openai.com/index/forecasting-misuse/
oai-r-on-first-order-meta-learning-algorithms,openai,post-training-and-fine-tuning,fallback-post-training,On first-order meta-learning algorithms,https://openai.com/index/on-first-order-meta-learning-algorithms/
oai-r-instruction-following,openai,alignment-and-safety,fallback-alignment,Aligning language models to follow instructions,https://openai.com/index/instruction-following/
oai-r-trading-inference-time-compute-for-adversarial-robustness,openai,alignment-and-safety,fallback-alignment,Trading Inference-Time Compute for Adversarial Robustness,https://openai.com/index/trading-inference-time-compute-for-adversarial-robustness/
oai-r-solving-math-word-problems,openai,evals-and-benchmarks,fallback-evals,Solving math word problems,https://openai.com/index/solving-math-word-problems/
oai-r-transfer-of-adversarial-robustness-between-perturbation-types,openai,alignment-and-safety,fallback-alignment,Transfer of adversarial robustness between perturbation types,https://openai.com/index/transfer-of-adversarial-robustness-between-perturbation-types/
oai-r-improving-model-safety-behavior-with-rule-based-rewards,openai,alignment-and-safety,fallback-alignment,Improving Model Safety Behavior with Rule-Based Rewards,https://openai.com/index/improving-model-safety-behavior-with-rule-based-rewards/
oai-r-a-hazard-analysis-framework-for-code-synthesis-large-language-models,openai,alignment-and-safety,fallback-alignment,A hazard analysis framework for code synthesis large language models,https://openai.com/index/a-hazard-analysis-framework-for-code-synthesis-large-language-models/
