id,company,current_focus_area,current_subcategory,title,url
hf-r-codeparrot,huggingface,pretraining-and-architecture,fallback-architecture,Training CodeParrot 🦜 from Scratch,https://huggingface.co/blog/codeparrot
hf-r-snowball-fight,huggingface,agentic-systems,fallback-agents,"Introducing Snowball Fight ☃️, our first ML-Agents environment",https://huggingface.co/blog/snowball-fight
dm-r-a-generalist-agent,deepmind,agentic-systems,agents-general,A Generalist Agent,https://deepmind.google/discover/blog/a-generalist-agent/
dm-r-creating-interactive-agents-with-imitation-learning,deepmind,post-training-and-fine-tuning,fallback-post-training,Creating Interactive Agents With Imitation Learning,https://deepmind.google/discover/blog/creating-interactive-agents-with-imitation-learning/
dm-r-discovering-when-an-agent-is-present-in-a-system,deepmind,agentic-systems,agents-general,Discovering When An Agent Is Present In A System,https://deepmind.google/discover/blog/discovering-when-an-agent-is-present-in-a-system/
dm-r-evaluating-multimodal-interactive-agents,deepmind,agentic-systems,fallback-agents,Evaluating Multimodal Interactive Agents,https://deepmind.google/discover/blog/evaluating-multimodal-interactive-agents/
dm-r-introducing-codemender-an-ai-agent-for-code-security,deepmind,agentic-systems,agents-general,Introducing Codemender An Ai Agent For Code Security,https://deepmind.google/discover/blog/introducing-codemender-an-ai-agent-for-code-security/
dm-r-learning-through-human-feedback,deepmind,post-training-and-fine-tuning,fallback-post-training,Learning Through Human Feedback,https://deepmind.google/discover/blog/learning-through-human-feedback/
dm-r-navigating-with-grid-like-representations-in-artificial-agents,deepmind,agentic-systems,fallback-agents,Navigating With Grid Like Representations In Artificial Agents,https://deepmind.google/discover/blog/navigating-with-grid-like-representations-in-artificial-agents/
dm-r-safety-first-ai-for-autonomous-data-centre-cooling-and-industrial-control,deepmind,agentic-systems,agents-general,Safety First Ai For Autonomous Data Centre Cooling And Industrial Control,https://deepmind.google/discover/blog/safety-first-ai-for-autonomous-data-centre-cooling-and-industrial-control/
dm-r-sima-generalist-ai-agent-for-3d-virtual-environments,deepmind,agentic-systems,agents-general,Sima Generalist Ai Agent For 3D Virtual Environments,https://deepmind.google/discover/blog/sima-generalist-ai-agent-for-3d-virtual-environments/
dm-r-spurious-normativity-enhances-learning-of-compliance-and-enforcement-behavior-in-artificial-agents,deepmind,agentic-systems,fallback-agents,Spurious Normativity Enhances Learning Of Compliance And Enforcement Behavior In Artificial Agents,https://deepmind.google/discover/blog/spurious-normativity-enhances-learning-of-compliance-and-enforcement-behavior-in-artificial-agents/
dm-r-understanding-agent-cooperation,deepmind,agentic-systems,agents-general,Understanding Agent Cooperation,https://deepmind.google/discover/blog/understanding-agent-cooperation/
