id,new_focus_area,new_subcategory,summary
oai-r-generative-language-modeling-for-automated-theorem-proving,,model-research-and-applications,"Introduces GPT-f, a transformer-based prover for the Metamath formalization language; Explores whether LMs can generate original mathematical terms beyond classical provers; First deep-learning system to have proofs accepted into a mainstream formal math library; Establishes generative LM approach to theorem proving; Matters as foundational work toward LLM-based formal math (precursor to Lean provers)."
oai-r-summarizing-books,post-training-and-fine-tuning,rlhf-classic,"Trains a book-summarization model via recursive task decomposition and human feedback (RLHF); Breaks book into sections, summarizes each, then summarizes summaries to produce whole-book summaries; Targets scalable oversight for tasks too long for humans to evaluate end-to-end; Shows RLHF scales to long-horizon tasks difficult to grade; Matters as a proof-of-concept for scalable human oversight via recursive decomposition."
oai-r-deep-double-descent,,scaling-and-training-dynamics,"Shows the double descent phenomenon (test error dips, peaks, then dips again) occurs in CNNs, ResNets, and transformers; Documents model-wise, sample-wise, and epoch-wise double descent; Finds a regime where more data actually hurts test performance; Peak occurs at the interpolation threshold where models barely fit training data; Matters for understanding overparameterization and modern generalization theory."
oai-r-improving-verifiability,alignment-and-safety,responsible-scaling-and-policy,"Multi-stakeholder report with 58 co-authors at 30 orgs on mechanisms for verifiable AI claims; Proposes 10 mechanisms across institutional (auditing, red teaming, bounties, incident sharing), software (audit trails, interpretability, privacy-preserving ML), and hardware (secure ML hardware, compute measurement, academic compute support); Aims to let users/regulators/researchers verify safety/fairness/privacy claims; Matters as blueprint for AI accountability, auditing, and governance infrastructure."
oai-r-testing-robustness,alignment-and-safety,capability-evals-for-safety,"Proposes UAR (Unforeseen Attack Robustness) metric for evaluating model robustness to unseen adversarial attack types; Evaluates across diverse distortion types (L1, L2-JPEG, Elastic, Fog, Gabor, Snow) at calibrated sizes against adversarially-trained baselines; Shows robustness to one distortion often fails to transfer to others; Releases code with attacks and pretrained defenses; Matters as methodology for more realistic adversarial-robustness evaluation."
oai-r-learning-concepts-with-energy-functions,,research-techniques-and-methods,"Proposes energy-based model that learns spatial/relational concepts (near, between, closest) from ~5 demonstrations; Jointly performs classification and generation of concepts via a shared energy function; Demonstrates cross-domain transfer (2D particle env to 3D robot arm) without retraining; Uses relational network architecture with attention masks; Matters as early work on concept learning via energy-based models and transfer."
oai-r-variance-reduction-for-policy-gradient-with-action-dependent-factorized-baselines,,research-techniques-and-methods,"Derives bias-free action-dependent baseline for policy gradient variance reduction; Exploits structural form of stochastic policy without added MDP assumptions; Scales to high-dimensional control (2000-dim target matching, hand manipulation); Extends to partially-observed and multi-agent tasks; Matters as a practical variance-reduction technique for deep RL."
oai-r-large-scale-study-of-curiosity-driven-learning,,research-techniques-and-methods,"First large-scale study of purely curiosity-driven RL (no extrinsic reward) across 54 environments; Shows strong performance of prediction-error intrinsic reward including Atari; Random features work for many games, learned features generalize better (e.g., Mario level generalization); Identifies failure modes in stochastic environments; Matters as empirical foundation for intrinsic motivation in RL."
oai-r-discovering-types-for-entity-disambiguation,,model-research-and-applications,"Proposes DeepType: entity disambiguation by predicting membership in ~100 automatically-discovered types; Plays probabilistic 20-questions using type hits to narrow to the correct entity; Achieves SOTA on CoNLL (YAGO) 94.88% and TAC KBP 2010 90.85%; Uses Wikipedia links + Wikidata categories + evolutionary search for type system design; Matters as an early neuro-symbolic approach to knowledge-grounded NLP."
oai-r-estimating-worst-case-frontier-risks-of-open-weight-llms,alignment-and-safety,capability-evals-for-safety,"Introduces malicious fine-tuning (MFT) to estimate worst-case harms from releasing gpt-oss; MFT gpt-oss trained via RL on biorisk web-browsing tasks and on agentic CTF coding; MFT gpt-oss underperforms o3 on frontier risk evals and only marginally exceeds open-weight baselines; Informed the decision to release gpt-oss; Matters as methodology template for pre-release open-weight safety assessment."
oai-r-interpretable-machine-learning-through-teaching,,research-techniques-and-methods,"Teacher-student training framework where iterative (non-joint) training produces interpretable pedagogical examples; Shows emergent strategies resemble intuitive human teaching; Validated via human experiments on Mechanical Turk; Works across rule-based, probabilistic, boolean, and hierarchical concepts; Matters for interpretable agent-agent communication and human-AI alignment."
oai-r-learning-to-model-other-minds,agentic-systems,game-and-rl-agents,"Introduces LOLA (Learning with Opponent-Learning Awareness) where each agent accounts for other agents' learning updates; Discovers tit-for-tat in iterated prisoner's dilemma and solves coin game where independent PPO fails; Differentiates through the anticipated learning step of opponents; Can work with opponent modeling from observed trajectories; Matters as early theory-of-mind-like multi-agent RL algorithm."
oai-r-learning-sparse-neural-networks-through-l0-regularization,quantization-and-efficiency,pruning-and-sparsity,"Proposes practical L0-norm regularization to prune weights during training by forcing them exactly to zero; Uses stochastic gates with a novel hard-concrete distribution to get a differentiable surrogate; Enables joint optimization of gates with network parameters; Improves generalization and allows conditional computation; Matters as a foundational differentiable-pruning method."
oai-r-interpretable-and-pedagogical-examples,,research-techniques-and-methods,"Paper-version companion to the interpretable teaching blog: iterative student-teacher training yields interpretable teaching strategies; Teacher network learns pedagogical examples that transfer to humans; Evaluated across rule-based, probabilistic, boolean, and hierarchical concepts; Measures interpretability via similarity to intuitive strategies and human teaching efficacy; Matters for communication between learning agents."
oai-r-meta-learning-for-wrestling,,research-techniques-and-methods,"Extends MAML meta-learning to train agents that adapt mid-match against wrestling opponents; Agents adapt policy parameters between rounds via gradient-ascent on collected reward; Three morphologies tested (Ant, Bug, Spider); Adapting agents beat stronger non-meta-learning agents and handle limb malfunction; Matters for meta-learning and fast adaptation in multi-agent RL."
oai-r-semi-supervised-knowledge-transfer-for-deep-learning-from-private-training-data,,societal-impact-and-deployment-studies,"Introduces PATE (Private Aggregation of Teacher Ensembles) for differentially private deep learning; Multiple teacher models on disjoint private datasets vote (with noise) to label a student model; Student never sees the underlying private data or teachers directly; Achieves SOTA privacy/utility tradeoffs on MNIST and SVHN; Matters as a landmark DP-ML technique for privacy-preserving training."
oai-r-learning-with-opponent-learning-awareness,agentic-systems,game-and-rl-agents,"Companion paper to 'learning to model other minds': LOLA algorithm for multi-agent RL; Each agent shapes the anticipated learning of its peers via a second-order update term; Leads to tit-for-tat cooperation in iterated prisoner's dilemma and Nash in matching pennies; Robust to exploitation by higher-order gradient methods; Matters as a seminal opponent-aware multi-agent RL method."
oai-r-adversarial-training-methods-for-semi-supervised-text-classification,,research-techniques-and-methods,"Extends adversarial and virtual adversarial training to text by perturbing word embeddings rather than one-hot inputs; Applied to RNN sentence classifiers in supervised and semi-supervised settings; Achieves SOTA on multiple text benchmarks; Improves learned word embeddings and reduces overfitting; Matters as adversarial regularization for NLP."
oai-r-robust-adversarial-inputs,alignment-and-safety,red-teaming-and-jailbreaking,"Demonstrates robust adversarial examples that fool image classifiers across scales and transformations; Built via optimization over ensembles of stochastic classifiers (random rescaling, rotation, translation); Challenges claim that self-driving cars are safe because they observe from multiple angles; Shows an adversarial 'kitten' image misclassified as monitor under any zoom/rotation; Matters as early evidence adversarial examples transfer to the physical world."
oai-r-learning-to-cooperate-compete-and-communicate,agentic-systems,game-and-rl-agents,"Introduces MADDPG, centralized-training / decentralized-execution actor-critic for multi-agent RL; Each agent's critic accesses peers' observations and actions during training; Works across cooperative and competitive tasks including adversarial ones; Outperforms DDPG on all tested multi-agent tasks; Matters as a foundational multi-agent RL algorithm and particle-envs benchmark release."
oai-r-equivalence-between-policy-gradients-and-soft-q-learning,,research-techniques-and-methods,"Proves precise equivalence between entropy-regularized Q-learning and policy gradient methods; Connects Q-learning to natural policy gradient; Shows entropy-regularized variants match or beat standard RL on Atari; Constructs a Q-learning variant matching A3C dynamics without target network or epsilon-greedy; Matters as a theoretical unification of two major RL families."
oai-r-extensions-and-limitations-of-the-neural-gpu,,architectures,"Improves Neural GPU via curriculum learning and larger memory-efficient models; Can learn all decimal arithmetic operations that generalize to arbitrarily long numbers; Learns to evaluate arithmetic expressions with operator precedence (binary rep, imperfect); Reveals adversarial-like failure modes on highly-symmetric inputs; Matters as an early study of algorithmic learning and generalization limits."
oai-r-unsupervised-sentiment-neuron,interpretability,feature-viz-and-probing,"Discovered single 'sentiment neuron' emerging from a char-level mLSTM trained on 82M Amazon reviews; Linear classifier on the representation hits 91.8% on Stanford Sentiment Treebank (SOTA at time); Matches supervised models with 30-100x fewer labels; Can control generated-text sentiment by overwriting the neuron's value; Matters as landmark finding on emergent interpretable features from next-token prediction."
oai-r-one-shot-imitation-learning,,research-techniques-and-methods,"Meta-learning framework for one-shot imitation: given a single new demo, a net produces a matching policy; Trained on pairs of demos across many tasks/instantiations (e.g. block stacking configurations); Uses soft attention to generalize to unseen task instances; Targets fast task acquisition without task-specific engineering; Matters as early meta-imitation learning for robotics."
oai-r-a-connection-between-generative-adversarial-networks-inverse-reinforcement-learning-and-energy-based-models,,research-techniques-and-methods,"Shows mathematical equivalence between max-entropy IRL and a GAN variant where generator density is passed to the discriminator; Frames max-entropy IRL as a special case of energy-based models; Unifies GANs, IRL, and EBMs to enable transferable ideas across communities; Targets more stable/scalable algorithms in all three families; Matters as a theoretical bridge between generative modeling and imitation learning."
oai-r-weight-normalization,,architectures,"Introduces weight normalization: reparameterizes weights by decoupling magnitude from direction; Speeds SGD convergence with lower computational overhead than batch norm; Works for recurrent nets, deep RL, and generative models where batch norm fails; Inspired by but avoids minibatch dependencies of batch normalization; Matters as a foundational, widely-used training-stabilization technique."
oai-r-a-holistic-approach-to-undesired-content-detection-in-the-real-world,alignment-and-safety,safety-research-general,"Describes end-to-end recipe for real-world content moderation classifiers (OpenAI Moderation API); Covers taxonomy design, labeling instructions, data quality, active learning for rare events, robustness tricks; Detects sexual, hateful, violent, self-harm, and harassment content; Outperforms off-the-shelf moderation models; Matters as blueprint for production content-moderation systems."
oai-r-learning-a-hierarchy,,research-techniques-and-methods,"Introduces MLSH (Meta-Learning Shared Hierarchies): master policy switches among learned sub-policies; Sub-policies discovered via meta-learning over a task distribution (not hand-engineered); Drastically reduces effective horizon (e.g. 2000 low-level actions to 10 high-level); Demonstrated on AntMaze where sub-policies correspond to movement directions; Matters as foundational hierarchical RL work with released MuJoCo environments."
oai-r-defining-and-evaluating-political-bias-in-llms,,societal-impact-and-deployment-studies,"Operational definition of political bias and ~500-prompt evaluation across 100 topics and 5 bias axes (user invalidation, escalation, personal political expression, asymmetric coverage, political refusals); GPT-5 instant/thinking reduce bias 30% vs prior models; Estimates <0.01% of real production ChatGPT traffic shows political bias; Uses an LLM grader with detailed rubric; Matters as a reproducible framework for auditing model objectivity."
oai-r-publication,,model-research-and-applications,"Title-only fallback: this is OpenAI's publication index/listing page, not a single research post; Acts as a directory aggregating all OpenAI research publications; Content is a navigation index with filters by type (Publication/Conclusion/Milestone/Release); No specific research claim; Included here for completeness; title-only."
oai-r-improving-mathematical-reasoning-with-process-supervision,post-training-and-fine-tuning,rlvr-verifiable-rewards,"Shows process supervision (rewarding each reasoning step) beats outcome supervision on MATH; Produces PRM800K dataset of step-level human feedback (released); Achieves new SOTA on MATH when used to rerank solutions; Reports negative alignment tax — process supervision is both safer and more performant; Matters as a landmark paper on step-level reward modeling for reasoning (precursor to modern PRMs)."
oai-r-frontier-ai-regulation,alignment-and-safety,responsible-scaling-and-policy,"Policy paper defining 'frontier AI' and proposing 3 regulatory building blocks: standard-setting, registration/reporting, compliance mechanisms; Advocates licensure regimes, pre-deployment risk assessments, external model-behavior scrutiny, and post-deployment monitoring; 20+ multi-org co-authors; Argues industry self-regulation is insufficient; Matters as an influential policy template for frontier AI governance."
oai-r-practices-for-governing-agentic-ai-systems,agentic-systems,agent-research-applications,"White paper on governance practices for agentic AI systems; Defines agentic systems and lifecycle parties (developers, deployers, users, third parties); Proposes baseline safety/responsibility practices per party; Discusses indirect societal impacts from wide-scale agent adoption; Accompanied by an agentic AI research grant program; Matters as early governance framework specific to agents."
oai-r-building-an-early-warning-system-for-llm-aided-biological-threat-creation,alignment-and-safety,capability-evals-for-safety,"100-participant human study (50 experts, 50 students) measuring GPT-4's uplift on biological threat creation vs internet-only baseline; Tasks span 5 biothreat stages; Used a custom research-only GPT-4 without refusals to elicit full capabilities; Finds mild non-significant uplifts (0.88 accuracy for experts, 0.25 for students); Matters as largest-to-date evaluation of LLM biorisk uplift, informing OpenAI's Preparedness Framework."
oai-r-reasoning-models-chain-of-thought-controllability,alignment-and-safety,scalable-oversight,"Introduces CoT-Control (13k tasks across GPQA/MMLU-Pro/HLE/BFCL/SWE-Bench Verified) to measure reasoning models' ability to control their CoT; All 13 frontier models tested score 0.1%-15.4% — current models can't deliberately obscure CoT; Controllability increases with model size but decreases with RL training and longer reasoning; Argues low controllability is good news for CoT monitorability as a safety signal; Matters as canary eval OpenAI will report in future system cards."
