id,company,current_focus_area,current_subcategory,title,url,publish_date
ant-r-the-capacity-for-moral-self-correction-in-large-language-models,anthropic,pretraining-and-architecture,fallback-architecture,The Capacity for Moral Self-Correction in Large Language Models,https://www.anthropic.com/research/the-capacity-for-moral-self-correction-in-large-language-models,2023-02-15
ant-r-language-models-mostly-know-what-they-know,anthropic,pretraining-and-architecture,fallback-architecture,Language Models (Mostly) Know What They Know,https://www.anthropic.com/research/language-models-mostly-know-what-they-know,2022-07-11
ant-r-softmax-linear-units,anthropic,pretraining-and-architecture,fallback-architecture,Softmax Linear Units,https://www.anthropic.com/research/softmax-linear-units,2022-06-17
tm-r-on-policy-distillation,thinking-machines,alignment-and-safety,fallback-alignment,On-Policy Distillation,https://thinkingmachines.ai/blog/on-policy-distillation/,2025-10-27
tm-r-modular-manifolds,thinking-machines,pretraining-and-architecture,fallback-architecture,Modular Manifolds,https://thinkingmachines.ai/blog/modular-manifolds/,2025-09-26
tm-r-defeating-nondeterminism-in-llm-inference,thinking-machines,pretraining-and-architecture,fallback-architecture,Defeating Nondeterminism in LLM Inference,https://thinkingmachines.ai/blog/defeating-nondeterminism-in-llm-inference/,2025-09-10
oai-r-gdpval,openai,evals-and-benchmarks,fallback-evals,Measuring the performance of our models on real-world tasks,https://openai.com/index/gdpval/,
oai-r-ai-and-efficiency,openai,pretraining-and-architecture,fallback-architecture,AI and efficiency,https://openai.com/index/ai-and-efficiency/,
oai-r-third-person-imitation-learning,openai,post-training-and-fine-tuning,fallback-post-training,Third-person imitation learning,https://openai.com/index/third-person-imitation-learning/,
oai-r-reptile,openai,post-training-and-fine-tuning,fallback-post-training,Reptile: A scalable meta-learning algorithm,https://openai.com/index/reptile/,
oai-r-adversarial-attacks-on-neural-network-policies,openai,alignment-and-safety,fallback-alignment,Adversarial attacks on neural network policies,https://openai.com/index/adversarial-attacks-on-neural-network-policies/,
oai-r-learning-complex-goals-with-iterated-amplification,openai,post-training-and-fine-tuning,fallback-post-training,Learning complex goals with iterated amplification,https://openai.com/index/learning-complex-goals-with-iterated-amplification/,
oai-r-ai-safety-needs-social-scientists,openai,alignment-and-safety,fallback-alignment,AI safety needs social scientists,https://openai.com/index/ai-safety-needs-social-scientists/,
oai-r-computational-limitations-in-robust-classification-and-win-win-results,openai,pretraining-and-architecture,fallback-architecture,Computational limitations in robust classification and win-win results,https://openai.com/index/computational-limitations-in-robust-classification-and-win-win-results/,
oai-r-forecasting-misuse,openai,alignment-and-safety,fallback-alignment,Forecasting potential misuses of language models for disinformation campaigns and how to reduce risk,https://openai.com/index/forecasting-misuse/,
oai-r-on-first-order-meta-learning-algorithms,openai,post-training-and-fine-tuning,fallback-post-training,On first-order meta-learning algorithms,https://openai.com/index/on-first-order-meta-learning-algorithms/,
oai-r-instruction-following,openai,alignment-and-safety,fallback-alignment,Aligning language models to follow instructions,https://openai.com/index/instruction-following/,
oai-r-trading-inference-time-compute-for-adversarial-robustness,openai,alignment-and-safety,fallback-alignment,Trading Inference-Time Compute for Adversarial Robustness,https://openai.com/index/trading-inference-time-compute-for-adversarial-robustness/,
oai-r-solving-math-word-problems,openai,evals-and-benchmarks,fallback-evals,Solving math word problems,https://openai.com/index/solving-math-word-problems/,
oai-r-transfer-of-adversarial-robustness-between-perturbation-types,openai,alignment-and-safety,fallback-alignment,Transfer of adversarial robustness between perturbation types,https://openai.com/index/transfer-of-adversarial-robustness-between-perturbation-types/,
oai-r-improving-model-safety-behavior-with-rule-based-rewards,openai,alignment-and-safety,fallback-alignment,Improving Model Safety Behavior with Rule-Based Rewards,https://openai.com/index/improving-model-safety-behavior-with-rule-based-rewards/,
oai-r-a-hazard-analysis-framework-for-code-synthesis-large-language-models,openai,alignment-and-safety,fallback-alignment,A hazard analysis framework for code synthesis large language models,https://openai.com/index/a-hazard-analysis-framework-for-code-synthesis-large-language-models/,
oai-r-gamepad,openai,evals-and-benchmarks,fallback-evals,GamePad: A learning environment for theorem proving,https://openai.com/index/gamepad/,
oai-r-preparing-for-malicious-uses-of-ai,openai,pretraining-and-architecture,fallback-architecture,Preparing for malicious uses of AI,https://openai.com/index/preparing-for-malicious-uses-of-ai/,
oai-r-concrete-ai-safety-problems,openai,alignment-and-safety,fallback-alignment,Concrete AI safety problems,https://openai.com/index/concrete-ai-safety-problems/,
oai-r-language-models-can-explain-neurons-in-language-models,openai,pretraining-and-architecture,fallback-architecture,Language models can explain neurons in language models,https://openai.com/index/language-models-can-explain-neurons-in-language-models/,
oai-r-techniques-for-training-large-neural-networks,openai,pretraining-and-architecture,fallback-architecture,Techniques for training large neural networks,https://openai.com/index/techniques-for-training-large-neural-networks/,
oai-r-scaling-laws-for-reward-model-overoptimization,openai,evals-and-benchmarks,fallback-evals,Scaling laws for reward model overoptimization,https://openai.com/index/scaling-laws-for-reward-model-overoptimization/,
oai-r-learning-policy-representations-in-multiagent-systems,openai,alignment-and-safety,fallback-alignment,Learning policy representations in multiagent systems,https://openai.com/index/learning-policy-representations-in-multiagent-systems/,
oai-r-evolution-through-large-models,openai,pretraining-and-architecture,fallback-architecture,Evolution through large models,https://openai.com/index/evolution-through-large-models/,
oai-r-measuring-goodharts-law,openai,pretraining-and-architecture,fallback-architecture,Measuring Goodhart’s law,https://openai.com/index/measuring-goodharts-law/,
oai-r-webgpt,openai,pretraining-and-architecture,fallback-architecture,WebGPT: Improving the factual accuracy of language models through web browsing,https://openai.com/index/webgpt/,
oai-r-generative-language-modeling-for-automated-theorem-proving,openai,evals-and-benchmarks,fallback-evals,Generative language modeling for automated theorem proving,https://openai.com/index/generative-language-modeling-for-automated-theorem-proving/,
oai-r-summarizing-books,openai,post-training-and-fine-tuning,fallback-post-training,Summarizing books with human feedback,https://openai.com/index/summarizing-books/,
oai-r-deep-double-descent,openai,pretraining-and-architecture,fallback-architecture,Deep double descent,https://openai.com/index/deep-double-descent/,
oai-r-improving-verifiability,openai,pretraining-and-architecture,fallback-architecture,Improving verifiability in AI development,https://openai.com/index/improving-verifiability/,
oai-r-testing-robustness,openai,pretraining-and-architecture,fallback-architecture,Testing robustness against unforeseen adversaries,https://openai.com/index/testing-robustness/,
oai-r-learning-concepts-with-energy-functions,openai,pretraining-and-architecture,fallback-architecture,Learning concepts with energy functions,https://openai.com/index/learning-concepts-with-energy-functions/,
oai-r-variance-reduction-for-policy-gradient-with-action-dependent-factorized-baselines,openai,alignment-and-safety,fallback-alignment,Variance reduction for policy gradient with action-dependent factorized baselines,https://openai.com/index/variance-reduction-for-policy-gradient-with-action-dependent-factorized-baselines/,
oai-r-large-scale-study-of-curiosity-driven-learning,openai,pretraining-and-architecture,fallback-architecture,Large-scale study of curiosity-driven learning,https://openai.com/index/large-scale-study-of-curiosity-driven-learning/,
oai-r-discovering-types-for-entity-disambiguation,openai,pretraining-and-architecture,fallback-architecture,Discovering types for entity disambiguation,https://openai.com/index/discovering-types-for-entity-disambiguation/,
oai-r-estimating-worst-case-frontier-risks-of-open-weight-llms,openai,pretraining-and-architecture,fallback-architecture,Estimating worst case frontier risks of open weight LLMs,https://openai.com/index/estimating-worst-case-frontier-risks-of-open-weight-llms/,
oai-r-interpretable-machine-learning-through-teaching,openai,pretraining-and-architecture,fallback-architecture,Interpretable Machine Learning Through Teaching,https://openai.com/index/interpretable-machine-learning-through-teaching/,
oai-r-learning-to-model-other-minds,openai,pretraining-and-architecture,fallback-architecture,Learning to model other minds,https://openai.com/index/learning-to-model-other-minds/,
oai-r-learning-sparse-neural-networks-through-l0-regularization,openai,pretraining-and-architecture,fallback-architecture,Learning sparse neural networks through L₀ regularization,https://openai.com/index/learning-sparse-neural-networks-through-l0-regularization/,
oai-r-interpretable-and-pedagogical-examples,openai,pretraining-and-architecture,fallback-architecture,Interpretable and pedagogical examples,https://openai.com/index/interpretable-and-pedagogical-examples/,
oai-r-meta-learning-for-wrestling,openai,post-training-and-fine-tuning,fallback-post-training,Meta-learning for wrestling,https://openai.com/index/meta-learning-for-wrestling/,
oai-r-semi-supervised-knowledge-transfer-for-deep-learning-from-private-training-data,openai,pretraining-and-architecture,fallback-architecture,Semi-supervised knowledge transfer for deep learning from private training data,https://openai.com/index/semi-supervised-knowledge-transfer-for-deep-learning-from-private-training-data/,
oai-r-learning-with-opponent-learning-awareness,openai,pretraining-and-architecture,fallback-architecture,Learning with opponent-learning awareness,https://openai.com/index/learning-with-opponent-learning-awareness/,
oai-r-adversarial-training-methods-for-semi-supervised-text-classification,openai,alignment-and-safety,fallback-alignment,Adversarial training methods for semi-supervised text classification,https://openai.com/index/adversarial-training-methods-for-semi-supervised-text-classification/,
oai-r-robust-adversarial-inputs,openai,alignment-and-safety,fallback-alignment,Robust adversarial inputs,https://openai.com/index/robust-adversarial-inputs/,
oai-r-learning-to-cooperate-compete-and-communicate,openai,pretraining-and-architecture,fallback-architecture,"Learning to cooperate, compete, and communicate",https://openai.com/index/learning-to-cooperate-compete-and-communicate/,
oai-r-equivalence-between-policy-gradients-and-soft-q-learning,openai,alignment-and-safety,fallback-alignment,Equivalence between policy gradients and soft Q-learning,https://openai.com/index/equivalence-between-policy-gradients-and-soft-q-learning/,
oai-r-extensions-and-limitations-of-the-neural-gpu,openai,pretraining-and-architecture,fallback-architecture,Extensions and limitations of the neural GPU,https://openai.com/index/extensions-and-limitations-of-the-neural-gpu/,
oai-r-unsupervised-sentiment-neuron,openai,interpretability,fallback-interp,Unsupervised sentiment neuron,https://openai.com/index/unsupervised-sentiment-neuron/,
oai-r-one-shot-imitation-learning,openai,post-training-and-fine-tuning,fallback-post-training,One-shot imitation learning,https://openai.com/index/one-shot-imitation-learning/,
oai-r-a-connection-between-generative-adversarial-networks-inverse-reinforcement-learning-and-energy-based-models,openai,alignment-and-safety,fallback-alignment,"A connection between generative adversarial networks, inverse reinforcement learning, and energy-based models",https://openai.com/index/a-connection-between-generative-adversarial-networks-inverse-reinforcement-learning-and-energy-based-models/,
oai-r-weight-normalization,openai,pretraining-and-architecture,fallback-architecture,Weight normalization: A simple reparameterization to accelerate training of deep neural networks,https://openai.com/index/weight-normalization/,
oai-r-a-holistic-approach-to-undesired-content-detection-in-the-real-world,openai,pretraining-and-architecture,fallback-architecture,A Holistic Approach to Undesired Content Detection in the Real World,https://openai.com/index/a-holistic-approach-to-undesired-content-detection-in-the-real-world/,
oai-r-learning-a-hierarchy,openai,pretraining-and-architecture,fallback-architecture,Learning a hierarchy,https://openai.com/index/learning-a-hierarchy/,
oai-r-defining-and-evaluating-political-bias-in-llms,openai,pretraining-and-architecture,fallback-architecture,Defining and evaluating political bias in LLMs,https://openai.com/index/defining-and-evaluating-political-bias-in-llms/,
oai-r-publication,openai,pretraining-and-architecture,fallback-architecture,OpenAI Research | Publication,https://openai.com/research/index/publication/,
oai-r-improving-mathematical-reasoning-with-process-supervision,openai,pretraining-and-architecture,fallback-architecture,Improving mathematical reasoning with process supervision,https://openai.com/index/improving-mathematical-reasoning-with-process-supervision/,
oai-r-frontier-ai-regulation,openai,alignment-and-safety,fallback-alignment,Frontier AI regulation: Managing emerging risks to public safety,https://openai.com/index/frontier-ai-regulation/,
oai-r-practices-for-governing-agentic-ai-systems,openai,agentic-systems,agents-general,Practices for Governing Agentic AI Systems,https://openai.com/index/practices-for-governing-agentic-ai-systems/,
oai-r-building-an-early-warning-system-for-llm-aided-biological-threat-creation,openai,alignment-and-safety,fallback-alignment,Building an early warning system for LLM-aided biological threat creation,https://openai.com/index/building-an-early-warning-system-for-llm-aided-biological-threat-creation/,
oai-r-reasoning-models-chain-of-thought-controllability,openai,pretraining-and-architecture,fallback-architecture,"Reasoning models struggle to control their chains of thought, and that’s good",https://openai.com/index/reasoning-models-chain-of-thought-controllability/,
oai-r-extending-single-minus-amplitudes-to-gravitons,openai,pretraining-and-architecture,fallback-architecture,Extending single-minus amplitudes to gravitons,https://openai.com/index/extending-single-minus-amplitudes-to-gravitons/,
oai-r-scaling-social-science-research,openai,pretraining-and-architecture,fallback-architecture,Scaling social science research,https://openai.com/index/scaling-social-science-research/,
oai-r-advancing-independent-research-ai-alignment,openai,alignment-and-safety,fallback-alignment,Advancing independent research on AI alignment,https://openai.com/index/advancing-independent-research-ai-alignment/,
dbx-r-memalign-building-better-llm-judges-human-feedback-scalable-memory,databricks,post-training-and-fine-tuning,fallback-post-training,MemAlign: Building Better LLM Judges From Human Feedback With Scalable Memory,https://www.databricks.com/blog/memalign-building-better-llm-judges-human-feedback-scalable-memory,2026-02-03
dbx-r-scaling-small-llms-nvidia-mps,databricks,pretraining-and-architecture,fallback-architecture,Scaling Small LLMs with NVIDIA MPS,https://www.databricks.com/blog/scaling-small-llms-nvidia-mps,2026-01-26
dbx-r-building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization,databricks,agentic-systems,fallback-agents,Building State-of-the-Art Enterprise Agents 90x Cheaper with Automated Prompt Optimization,https://www.databricks.com/blog/building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization,2025-09-24
dbx-r-power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel,databricks,pretraining-and-architecture,fallback-architecture,The Power of Fine-Tuning on Your Data: Quick Fixing Bugs with LLMs via Never Ending Learning (NEL),https://www.databricks.com/blog/power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel,2025-04-08
dbx-r-characterizing-datasets-and-building-better-models-continued-pre-training,databricks,pretraining-and-architecture,fallback-architecture,Characterizing Datasets and Building Better Models with Continued Pre-Training,https://www.databricks.com/blog/characterizing-datasets-and-building-better-models-continued-pre-training,2024-11-21
dbx-r-long-context-rag-performance-llms,databricks,pretraining-and-architecture,fallback-architecture,Long Context RAG Performance of LLMs,https://www.databricks.com/blog/long-context-rag-performance-llms,2024-08-12
dbx-e-training-moes-scale-pytorch-and-databricks,databricks,harness-and-context-engineering,databricks-training-stack-misc,Training MoEs at Scale with PyTorch and Databricks,https://www.databricks.com/blog/training-moes-scale-pytorch-and-databricks,2024-07-01
dbx-r-optimizing-databricks-llm-pipelines-dspy,databricks,pretraining-and-architecture,fallback-architecture,Optimizing Databricks LLM Pipelines with DSPy,https://www.databricks.com/blog/optimizing-databricks-llm-pipelines-dspy,2024-05-23
dbx-e-bringing-megablocks-databricks,databricks,harness-and-context-engineering,databricks-training-stack-misc,Bringing MegaBlocks to Databricks,https://www.databricks.com/blog/bringing-megablocks-databricks,2024-04-09
dbx-r-dspy-databricks,databricks,pretraining-and-architecture,fallback-architecture,DSPy on Databricks,https://www.databricks.com/blog/dspy-databricks,2024-04-08
dbx-e-turbocharged-training-optimizing-databricks-mosaic-ai-stack-fp8,databricks,quantization-and-efficiency,fallback-efficiency,Turbocharged Training: Optimizing the Databricks Mosaic AI Stack With FP8,https://www.databricks.com/blog/turbocharged-training-optimizing-databricks-mosaic-ai-stack-fp8,2024-03-21
dbx-e-fast-secure-and-reliable-enterprise-grade-llm-inference,databricks,harness-and-context-engineering,databricks-training-stack-misc,"Fast, Secure and Reliable: Enterprise-grade LLM Inference",https://www.databricks.com/blog/fast-secure-and-reliable-enterprise-grade-llm-inference,2024-03-20
dbx-r-fine-grained-human-feedback,databricks,post-training-and-fine-tuning,fallback-post-training,Fine-Grained Human Feedback,https://www.databricks.com/blog/fine-grained-human-feedback,2024-02-27
dbx-e-llm-training-and-inference-intel-gaudi2-ai-accelerators,databricks,harness-and-context-engineering,databricks-training-stack-misc,LLM Training and Inference with Intel Gaudi 2 AI Accelerators,https://www.databricks.com/blog/llm-training-and-inference-intel-gaudi2-ai-accelerators,2024-01-04
dbx-e-training-llms-scale-amd-mi250-gpus,databricks,harness-and-context-engineering,databricks-training-stack-misc,Training LLMs at Scale with AMD MI250 GPUs,https://www.databricks.com/blog/training-llms-scale-amd-mi250-gpus,2023-10-30
dbx-e-llm-training-unity-catalog-data-mosaicml-streaming-dataset,databricks,harness-and-context-engineering,databricks-training-stack-misc,LLM Training on Unity Catalog data with MosaicML Streaming Dataset,https://www.databricks.com/blog/llm-training-unity-catalog-data-mosaicml-streaming-dataset,2023-10-17
dbx-e-llm-inference-performance-engineering-best-practices,databricks,harness-and-context-engineering,databricks-training-stack-misc,LLM Inference Performance Engineering: Best Practices,https://www.databricks.com/blog/llm-inference-performance-engineering-best-practices,2023-10-12
dbx-e-amd-mi250,databricks,harness-and-context-engineering,databricks-training-stack-misc,Training LLMs with AMD MI250 GPUs and MosaicML,https://www.databricks.com/blog/amd-mi250,2023-06-30
dbx-e-cloudflare-r2-mosaicml,databricks,harness-and-context-engineering,databricks-training-stack-misc,Cloudflare R2 and MosaicML: Train LLMs on Any Compute with Zero Switching Costs,https://www.databricks.com/blog/cloudflare-r2-mosaicml,2023-05-23
dbx-r-diffusion,databricks,harness-and-context-engineering,databricks-training-stack-misc,How We Trained Stable Diffusion for Less than $50k (Part 3),https://www.databricks.com/blog/diffusion,2023-04-28
dbx-e-billion-parameter-gpt-training-made-easy,databricks,harness-and-context-engineering,fallback-harness,Mosaic LLMs (Part 1): Billion-Parameter GPT Training Made Easy,https://www.databricks.com/blog/billion-parameter-gpt-training-made-easy,2022-08-11
dbx-r-behind-the-scenes,databricks,pretraining-and-architecture,fallback-architecture,Behind the Scenes: Setting a Baseline for Image Segmentation Speedups,https://www.databricks.com/blog/behind-the-scenes,2022-07-28
dbx-e-farewell-oom,databricks,harness-and-context-engineering,databricks-training-stack-misc,"Farewell, CUDA OOM: Automatic Gradient Accumulation",https://www.databricks.com/blog/farewell-oom,2022-06-23
dbx-r-5-best-practices-for-efficient-model-training,databricks,pretraining-and-architecture,fallback-architecture,5 Best Practices for Efficient Model Training,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/5-best-practices-for-efficient-model-training,
dbx-e-aws-composer,databricks,harness-and-context-engineering,fallback-harness,Composer on AWS,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/aws-composer,
dbx-r-best-practices-dec-2021,databricks,pretraining-and-architecture,fallback-architecture,Best Practices (Dec 2021),https://web.archive.org/web/2023/https://www.mosaicml.com/blog/best-practices-dec-2021,
dbx-e-composer-0-10-release,databricks,harness-and-context-engineering,fallback-harness,Composer 0.10 Release,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-0-10-release,
dbx-e-composer-0-11-release,databricks,harness-and-context-engineering,fallback-harness,Composer 0.11 Release,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-0-11-release,
dbx-e-composer-0-9-release,databricks,harness-and-context-engineering,fallback-harness,Composer 0.9 Release,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-0-9-release,
dbx-e-composer-ffcv-faster-together,databricks,harness-and-context-engineering,fallback-harness,Composer + FFCV: Faster Together,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/composer-ffcv-faster-together,
dbx-r-dream3d,databricks,pretraining-and-architecture,fallback-architecture,Dream3D,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/dream3d,
dbx-r-making-ml-training-efficient-algorithmically,databricks,pretraining-and-architecture,fallback-architecture,Making ML Training Efficient Algorithmically,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/making-ml-training-efficient-algorithmically,
dbx-r-methodology,databricks,pretraining-and-architecture,fallback-architecture,Methodology,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/methodology,
dbx-r-natural-synthetics,databricks,pretraining-and-architecture,fallback-architecture,Natural Synthetics,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/natural-synthetics,
dbx-r-stable-diffusion-1,databricks,harness-and-context-engineering,databricks-training-stack-misc,How We Trained Stable Diffusion for Less than $50k (Part 1),https://web.archive.org/web/2023/https://www.mosaicml.com/blog/stable-diffusion-1,
dbx-e-supercharge-training-composer,databricks,harness-and-context-engineering,fallback-harness,Supercharge Training with Composer,https://web.archive.org/web/2023/https://www.mosaicml.com/blog/supercharge-training-composer,
cur-r-agent-sandboxing,cursor,agentic-systems,agents-general,Implementing a secure sandbox for local agents,https://cursor.com/blog/agent-sandboxing,2026-02-18
cur-r-better-models-ambitious-work,cursor,pretraining-and-architecture,fallback-architecture,Better AI models enable more ambitious work,https://cursor.com/blog/better-models-ambitious-work,2026-04-15
cur-r-fast-regex-search,cursor,agentic-systems,agents-general,Fast regex search: indexing text for agent tools,https://cursor.com/blog/fast-regex-search,2026-03-23
cur-r-self-driving-codebases,cursor,pretraining-and-architecture,fallback-architecture,Towards self-driving codebases,https://cursor.com/blog/self-driving-codebases,2026-02-05
cur-e-long-running-agents,cursor,agentic-systems,fallback-agents,Expanding our long-running agents research preview,https://cursor.com/blog/long-running-agents,2026-02-12
cur-e-security-agents,cursor,agentic-systems,agents-general,Securing our codebase with autonomous agents,https://cursor.com/blog/security-agents,2026-03-16
vcl-e-agentic-infrastructure,vercel,agentic-systems,agents-general,Agentic Infrastructure,https://vercel.com/blog/agentic-infrastructure,2026-04-09
vcl-e-how-flora-shipped-a-creative-agent-on-vercels-ai-stack,vercel,agentic-systems,agents-general,How FLORA shipped a creative agent on Vercel's AI stack,https://vercel.com/blog/how-flora-shipped-a-creative-agent-on-vercels-ai-stack,2026-03-31
vcl-e-agent-responsibly,vercel,agentic-systems,agents-general,Agent responsibly,https://vercel.com/blog/agent-responsibly,2026-03-30
vcl-e-security-boundaries-in-agentic-architectures,vercel,agentic-systems,agents-general,Security boundaries in agentic architectures,https://vercel.com/blog/security-boundaries-in-agentic-architectures,2026-02-24
vcl-e-making-agent-friendly-pages-with-content-negotiation,vercel,agentic-systems,agents-general,Making agent-friendly pages with content negotiation,https://vercel.com/blog/making-agent-friendly-pages-with-content-negotiation,2026-02-03
vcl-e-agents-md-outperforms-skills-in-our-agent-evals,vercel,evals-and-benchmarks,fallback-evals,AGENTS.md outperforms skills in our agent evals,https://vercel.com/blog/agents-md-outperforms-skills-in-our-agent-evals,2026-01-27
vcl-e-we-removed-80-percent-of-our-agents-tools,vercel,agentic-systems,agents-general,We removed 80% of our agent’s tools,https://vercel.com/blog/we-removed-80-percent-of-our-agents-tools,2025-12-22
vcl-e-vercel-agent-can-now-run-ai-investigations,vercel,agentic-systems,agents-general,Vercel Agent can now run AI investigations,https://vercel.com/blog/vercel-agent-can-now-run-ai-investigations,2025-10-31
vcl-e-the-no-nonsense-approach-to-ai-agent-development,vercel,agentic-systems,agents-general,The no-nonsense approach to AI agent development,https://vercel.com/blog/the-no-nonsense-approach-to-ai-agent-development,2025-06-04
cog-r-swe-1-6-preview,cognition,pretraining-and-architecture,fallback-architecture,An Early Preview of SWE-1.6 and Research Update,https://cognition.ai/blog/swe-1-6-preview,2026-03-01
meta-r-ctrl-and-mntdp-a-new-open-source-benchmark-and-model-for-continual-learning,meta-fair,evals-and-benchmarks,fallback-evals,Ctrl And Mntdp A New Open Source Benchmark And Model For Continual Learning,https://ai.meta.com/blog/ctrl-and-mntdp-a-new-open-source-benchmark-and-model-for-continual-learning/,
meta-r-introducing-pytorch-native-agentic-stack,meta-fair,agentic-systems,agents-general,Introducing Pytorch Native Agentic Stack,https://ai.meta.com/blog/introducing-pytorch-native-agentic-stack/,
meta-r-meta-fair-updates-agents-robustness-safety-architecture,meta-fair,agentic-systems,fallback-agents,Meta Fair Updates Agents Robustness Safety Architecture,https://ai.meta.com/blog/meta-fair-updates-agents-robustness-safety-architecture/,
meta-r-open-sourcing-polygames-a-new-framework-for-training-ai-bots-through-self-play,meta-fair,post-training-and-fine-tuning,fallback-post-training,Open Sourcing Polygames A New Framework For Training Ai Bots Through Self Play,https://ai.meta.com/blog/open-sourcing-polygames-a-new-framework-for-training-ai-bots-through-self-play/,
