id,company,focus_area,subcategory,title,url,signal_priority
dbx-r-power-rlvr-training-leading-sql-reasoning-model-databricks,databricks,post-training-and-fine-tuning,rlvr-verifiable-rewards,The Power of RLVR: Training a Leading SQL Reasoning Model on Databricks,https://www.databricks.com/blog/power-rlvr-training-leading-sql-reasoning-model-databricks,8.8
dbx-r-mixattention,databricks,pretraining-and-architecture,architectures,Inference-Friendly Models with MixAttention,https://www.databricks.com/blog/mixattention,8.8
dbx-e-mosaic-ai-training-capabilities,databricks,pretraining-and-architecture,training-stack,Building DBRX-class Custom LLMs with Mosaic AI Training,https://www.databricks.com/blog/mosaic-ai-training-capabilities,8.8
hf-r-open-r1,huggingface,pretraining-and-architecture,foundation-model-releases,Open-R1: a fully open reproduction of DeepSeek-R1,https://huggingface.co/blog/open-r1,8.8
hf-r-smollm,huggingface,pretraining-and-architecture,foundation-model-releases,SmolLM - blazingly fast and remarkably powerful,https://huggingface.co/blog/smollm,8.8
hf-r-rwkv,huggingface,pretraining-and-architecture,architectures,Introducing RWKV - An RNN with the advantages of a transformer,https://huggingface.co/blog/rwkv,8.8
cog-r-swe-bench-technical-report,cognition,evals-and-benchmarks,coding-evals,SWE-bench technical report,https://cognition.ai/blog/swe-bench-technical-report,8.7
cur-r-composer-2-technical-report,cursor,pretraining-and-architecture,training-stack,A technical report on Composer 2,https://cursor.com/blog/composer-2-technical-report,8.7
dbx-r-mosaic-resnet-deep-dive,databricks,pretraining-and-architecture,training-stack,Mosaic ResNet Deep Dive,https://www.databricks.com/blog/mosaic-resnet-deep-dive,8.7
hf-r-screensuite,huggingface,evals-and-benchmarks,judge-models-and-methodology,ScreenSuite - The most comprehensive evaluation suite for GUI Agents!,https://huggingface.co/blog/screensuite,8.7
hf-r-leaderboard-llamaguard,huggingface,evals-and-benchmarks,judge-models-and-methodology,CyberSecEval 2 - A Comprehensive Evaluation Framework for Cybersecurity Risks and Capabilities of Large Language Models,https://huggingface.co/blog/leaderboard-llamaguard,8.7
oai-r-gpt-oss-model-card,openai,pretraining-and-architecture,foundation-model-releases,gpt-oss-120b & gpt-oss-20b Model Card,https://openai.com/index/gpt-oss-model-card/,8.7
ai2-r-olmoe-an-open-small-and-state-of-the-art-mixture-of-experts-model-c258432d0514,ai2,pretraining-and-architecture,architectures,Olmoe An Open Small And State Of The Art Mixture Of Experts Model C258432D0514,https://allenai.org/blog/olmoe-an-open-small-and-state-of-the-art-mixture-of-experts-model-c258432d0514,7.8
a21-r-introducing-jamba-1-6,ai21,pretraining-and-architecture,foundation-model-releases,Introducing Jamba 1 6,https://www.ai21.com/blog/introducing-jamba-1-6/,7.8
a21-r-introducing-jamba-reasoning-3b,ai21,pretraining-and-architecture,foundation-model-releases,Introducing Jamba Reasoning 3B,https://www.ai21.com/blog/introducing-jamba-reasoning-3b/,7.8
a21-r-jamba-3b-vs-qwen3-4b,ai21,pretraining-and-architecture,foundation-model-releases,Jamba 3B Vs Qwen3 4B,https://www.ai21.com/blog/jamba-3b-vs-qwen3-4b/,7.8
a21-r-jamba-instruct-amazon-bedrock,ai21,pretraining-and-architecture,foundation-model-releases,Jamba Instruct Amazon Bedrock,https://www.ai21.com/blog/jamba-instruct-amazon-bedrock/,7.8
a21-r-jamba-instruct-microsoft-azure-ai,ai21,pretraining-and-architecture,foundation-model-releases,Jamba Instruct Microsoft Azure Ai,https://www.ai21.com/blog/jamba-instruct-microsoft-azure-ai/,7.8
a21-r-jamba-instruct-on-snowflake-cortex,ai21,pretraining-and-architecture,foundation-model-releases,Jamba Instruct On Snowflake Cortex,https://www.ai21.com/blog/jamba-instruct-on-snowflake-cortex/,7.8
a21-r-jamba-instruct-on-snowflake-cortex-ai,ai21,pretraining-and-architecture,foundation-model-releases,Jamba Instruct On Snowflake Cortex Ai,https://www.ai21.com/blog/jamba-instruct-on-snowflake-cortex-ai/,7.8
a21-r-transforming-the-future-of-ai-with-long-context-jamba-instruct,ai21,pretraining-and-architecture,foundation-model-releases,Transforming The Future Of Ai With Long Context Jamba Instruct,https://www.ai21.com/blog/transforming-the-future-of-ai-with-long-context-jamba-instruct/,7.8
ant-e-harness-design-long-running-apps,anthropic,harness-and-context-engineering,long-running-harnesses,Harness design for long-running application development,https://www.anthropic.com/engineering/harness-design-long-running-apps,7.8
ant-e-eval-awareness-browsecomp,anthropic,alignment-and-safety,reward-hacking-and-sycophancy,Eval awareness in Claude Opus 4.6’s BrowseComp performance,https://www.anthropic.com/engineering/eval-awareness-browsecomp,7.8
cog-r-dont-build-multi-agents,cognition,agentic-systems,agent-design-and-patterns,Don’t Build Multi-Agents,https://cognition.ai/blog/dont-build-multi-agents,7.8
dbx-r-introducing-officeqa-benchmark-end-to-end-grounded-reasoning,databricks,evals-and-benchmarks,agent-evals,Introducing OfficeQA: A Benchmark for End-to-End Grounded Reasoning,https://www.databricks.com/blog/introducing-officeqa-benchmark-end-to-end-grounded-reasoning,7.8
dbx-r-unpacking-function-calling-eval,databricks,evals-and-benchmarks,benchmark-critique,Beyond the Leaderboard: Unpacking Function Calling Evaluation,https://www.databricks.com/blog/unpacking-function-calling-eval,7.8
dm-r-alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms,deepmind,agentic-systems,coding-agents,Alphaevolve A Gemini Powered Coding Agent For Designing Advanced Algorithms,https://deepmind.google/discover/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/,7.8
hf-r-cosmopedia,huggingface,post-training-and-fine-tuning,fallback-post-training,Cosmopedia: how to create large-scale synthetic data for pre-training Large Language Models,https://huggingface.co/blog/cosmopedia,7.8
hf-r-constitutional_ai,huggingface,alignment-and-safety,constitutional-and-self-critique,Constitutional AI with Open LLMs,https://huggingface.co/blog/constitutional_ai,7.8
mt-r-codestral-mamba,mistral,pretraining-and-architecture,architectures,Codestral Mamba,https://mistral.ai/news/codestral-mamba/,7.8
mt-r-mixtral-of-experts,mistral,pretraining-and-architecture,architectures,Mixtral Of Experts,https://mistral.ai/news/mixtral-of-experts/,7.8
mt-r-mixtral-small-28b,mistral,pretraining-and-architecture,architectures,Mixtral Small 28B,https://mistral.ai/news/mixtral-small-28b/,7.8
mn-r-kimi-k1.5,moonshot,pretraining-and-architecture,research-techniques-and-methods,Kimi k1.5: Scaling Reinforcement Learning with LLMs,https://github.com/MoonshotAI/Kimi-k1.5,7.8
mn-r-kimina-prover-preview,moonshot,pretraining-and-architecture,research-techniques-and-methods,Kimina-Prover Preview: Towards Large Formal Reasoning Models with Reinforcement Learning,https://github.com/MoonshotAI/Kimina-Prover-Preview,7.8
mn-r-moonlight,moonshot,pretraining-and-architecture,architectures,train qwen-like dense model with muon,https://github.com/MoonshotAI/Moonlight,7.8
oai-e-harness-engineering,openai,harness-and-context-engineering,long-running-harnesses,Harness engineering: leveraging Codex in an agent-first world,https://openai.com/index/harness-engineering/,7.8
oai-e-beyond-rate-limits,openai,harness-and-context-engineering,codex-and-sora-harness,Beyond rate limits: scaling access to Codex and Sora,https://openai.com/index/beyond-rate-limits/,7.8
oai-r-gotta-learn-fast,openai,evals-and-benchmarks,benchmark-release,Gotta Learn Fast: A new benchmark for generalization in RL,https://openai.com/index/gotta-learn-fast/,7.8
qw-r-gspo,qwen,pretraining-and-architecture,research-techniques-and-methods,GSPO: Towards Scalable Reinforcement Learning for Language Models,https://qwenlm.github.io/blog/gspo/,7.8
qw-r-qwen3-embedding,qwen,pretraining-and-architecture,research-techniques-and-methods,Qwen3 Embedding: Advancing Text Embedding and Reranking Through Foundation Models,https://qwenlm.github.io/blog/qwen3-embedding/,7.8
