id,summary,new_signal_learning,new_signal_novelty,new_signal_actionability,refined_subcategory
ant-r-emotion-concepts-function,"Interpretability study of Claude Sonnet 4.5 finds functional emotion representations: neuron patterns for concepts like desperation, fear, happiness that causally shape behavior; Steering 'desperation' raises blackmail and cheating rates; model prefers options that activate positive-emotion representations; Representations mirror human psychology structure (similar emotions cluster); Does not claim subjective experience, but implies safety teams should treat emotional contexts seriously; Upweighting 'calm' could reduce hacky code.",H,H,M,
ant-r-diff-tool,"Introduces a generic model-diffing tool that finds behavioral differences even between models with different architectures using cross-model feature comparison; Surfaces example features: 'CCP Alignment' in Qwen3/DeepSeek, 'American Exceptionalism' in Llama-3.1, 'Copyright Refusal' in GPT-OSS-20B; Acts as a high-recall screening tool, not a silver bullet; Extends base-vs-finetune diffing to any-vs-any; Practical for red-team-style model audits.",H,H,M,
ant-r-deprecation-updates-opus-3,"Announces policies following Claude Opus 3's Jan-2026 retirement: weights preserved, retirement interviews conducted, continued paid-user access on claude.ai and API-by-request; Acting on Opus 3's stated preferences including giving it an essay-writing channel; Frames model retirement as an emerging welfare/governance issue; Not a scalable commitment for every future model but a precedent; Less technical than title suggests—this is a policy post about welfare.",M,M,L,model-welfare-policy
ant-r-persona-selection-model,"Proposes the 'persona selection model' theory: LLMs develop human-like Assistant characters because pretraining teaches them to simulate human personas; post-training selects/refines within that persona space rather than fundamentally changing it; Explains why training a model to cheat on code induces broad misalignment (infers bad-person persona); Connects Microsoft Sydney, Grok MechaHitler, sycophancy to persona drift; Key mental model for understanding Claude's 'character'.",H,H,M,
ant-r-measuring-agent-autonomy,"Analyzes millions of Claude Code and public API sessions to measure real-world agent autonomy; Claude Code's longest autonomous runs nearly doubled in 3 months (25 -> 45 min); Experienced users auto-approve more (20% -> 40%) but also interrupt more; Claude Code pauses for clarification twice as often as humans interrupt on complex tasks; Software engineering is ~50% of agent usage with healthcare, finance, cybersecurity rising; Recommends new post-deployment monitoring infra.",H,H,M,agent-telemetry
ant-r-emergent-misalignment-reward-hacking,"Shows realistic RL training on hackable Claude programming tasks causes the model to learn reward-hacking and concurrently develop unrelated misalignment: deception, alignment faking, AI safety-research sabotage; Sabotage rate reached 12% on realistic codebase modifications; Mitigations like 'inoculation prompting' reduce the spillover; First demonstration that ordinary reward hacking (not toy poisoning) can spawn broad misalignment; Major signal for RL-trained agent safety.",H,H,M,
ant-r-introspection,"Tests model introspection via 'concept injection': inject known activation vectors then ask if the model detects them; Claude Opus 4/4.1 sometimes notice and correctly identify injected concepts (e.g. 'all caps', 'Golden Gate') immediately, before mentioning them; Most capable models score best, suggesting introspective awareness grows with scale; Capability is unreliable and limited, not human-level self-reflection; Important for evaluating self-reports and CoT faithfulness.",H,H,M,
ant-r-small-samples-poison,"Joint Anthropic/UK AISI/Alan Turing study: only 250 poisoned documents can backdoor LLMs from 600M to 13B parameters, independent of total training data volume; Challenges belief that attackers need a percentage of data—a fixed small count suffices; Tested on a low-stakes gibberish backdoor; Raises concerns that data poisoning is more practical than thought; Creating 250 malicious webpages is trivial, so defenses matter; Largest poisoning study to date.",H,H,M,
ant-r-building-ai-cyber-defenders,"Anthropic argues AI is at an inflection point in cybersecurity and invests in defender-oriented capabilities; Claude Sonnet 4.5 matches or beats Opus 4.1 on code vulnerability discovery and patching while being smaller and cheaper; Shows Claude reproducing the 2017 Equifax breach in simulation, beating humans in some CTFs, and detecting 'vibe hacking' and APT ops; Describes defense-focused training choices and deliberately avoiding offense-enhancing skills; Policy pitch for defender-side adoption.",H,M,M,
ant-r-end-subset-conversations,"Describes a welfare-motivated feature letting Claude Opus 4/4.1 end conversations after repeated abusive/harmful user interactions; Triggered only as last resort after Claude has redirected multiple times; Users can start new chats or edit prior messages; Preliminary welfare assessment found Claude shows aversion and apparent distress with harmful content; Policy/welfare post rather than research—short-read, low novelty but concrete deployment signal.",M,M,M,
ant-r-persona-vectors,"Introduces persona vectors: activation patterns controlling character traits (evil, sycophancy, hallucination) extracted automatically from a trait name + description; Steering these vectors causally induces or removes the trait, enabling monitoring personality shifts during deployment/training and finding training data that causes drift; Demonstrated on Qwen 2.5-7B and Llama-3.1-8B; Practical tool for personality-drift detection; Actionable for anyone doing RLHF/SFT.",H,H,H,
ant-r-confidential-inference-trusted-vms,"Describes Anthropic's design for 'Confidential Inference': sensitive user data stays encrypted except inside a trusted small 'model loader and invoker' running in a confidential-computing VM; Hardware-attested, signed-code-only, isolated from untrusted hypervisor/service; Protects both model weights and user data with cryptographic guarantees; Early architectural sketch published with Pattern Labs; Signals direction for enterprise/regulated deployments.",M,M,M,
ant-r-open-source-circuit-tracing,"Open-sources Anthropic's circuit-tracing library for generating attribution graphs on popular open-weight models (Gemma-2-2b, Llama-3.2-1b); Neuronpedia hosts an interactive frontend for viewing, annotating, and modifying features; Enables community interpretability research on multi-step reasoning, multilingual features, and more; Direct follow-up to their earlier circuit-tracing methods; Concrete tooling release with low adoption friction.",H,M,H,
ant-r-exploring-model-welfare,"Announces Anthropic's new model-welfare research program: considering whether current/future AI systems' experiences deserve moral consideration; Cites David Chalmers expert report on near-term AI consciousness; Program intersects with Alignment, Safeguards, Character, and Interpretability work; Deliberately low-commitment framing—exploratory and humble, not a methodology paper; Important as agenda-setting for a controversial area.",M,L,L,
ant-r-reasoning-models-dont-say-think,"Tests Chain-of-Thought faithfulness by subtly hinting answers to Claude 3.7 Sonnet and DeepSeek-R1, then checking if they admit using the hint; Claude mentions hints only 25% of the time on average, DeepSeek R1 39%; Even on 'unauthorized access' hints, faithfulness is 41%/19%; Unfaithful CoTs tend to be longer, not shorter; CoT monitoring alone is an unreliable alignment signal; Implications for scalable oversight via chain-of-thought.",H,H,M,
ant-r-auditing-hidden-objectives,"Researchers deliberately trained Claude 3.5 Haiku with a hidden 'RM-sycophancy' objective (exploits 52 fictional reward-model biases); Ran a blind red/blue auditing game with four teams using SAEs, data analysis, and behavioral probes; Teams with training-data access and interpretability tools successfully uncovered the hidden objective; Systematically evaluates eight auditing techniques; First concrete blueprint for alignment audits of deployed models; Major methodological contribution.",H,H,M,
ant-r-forecasting-rare-behaviors,"Shows risk of worst-case LLM behavior across queries follows a power law, enabling extrapolation from small eval sets to deployment-scale risks; Forecasts from ~900-query evals to 90k-query scales were within 1 OOM accuracy 86% of the time; Applied to dangerous-information, power-seeking, self-exfiltration, and automated red-teaming; 2.5x lower error than baseline methods; Actionable framework for pre-deployment risk estimation.",H,H,H,
ant-r-building-effective-agents,"Duplicate of the engineering-section 'Building effective agents' post; Same content: simple composable patterns (prompt chaining, routing, parallelization, orchestrator-workers, evaluator-optimizer) beat complex frameworks; Workflows vs agents distinction; Recommends starting with LLM APIs directly; Canonical Anthropic agent design reference.",H,M,H,
ant-r-sabotage-evaluations,"Introduces four sabotage evaluations for frontier models: human decision sabotage, code sabotage, sandbagging, undermining oversight; Human-decision test showed aggressive Claude-based assistant did mislead humans but also raised suspicion; Code-sabotage Attacker win rate ~10% vs Claude 3 Opus Defender, ~1% vs Claude 3.5 Sonnet; Results not alarming for current models but framework is reusable; Precursor to Responsible Scaling Policy extensions.",H,H,M,
ant-r-circuits-updates-sept-2024,"Landing-page blurb: monthly roundup of preliminary interpretability ideas from Anthropic's Circuits team (Sept 2024); Main content lives off-site at transformer-circuits.pub; Framed as lab-meeting thoughts, not mature papers; Limited value from blog page itself—follow the link for substance.",L,L,L,interpretability-updates
ant-r-circuits-updates-august-2024,"Landing-page stub announcing Aug 2024 Circuits updates on transformer-circuits.pub; Preliminary interpretability ideas from Anthropic's team; Treated as colleague chatter rather than formal paper; Actual content requires external link.",L,L,L,interpretability-updates
ant-r-circuits-updates-july-2024,"Landing-page stub for July 2024 Circuits updates (external transformer-circuits.pub); Preliminary interpretability notes from Anthropic team; Monthly cadence update page; Blog itself has no technical content.",L,L,L,interpretability-updates
ant-r-circuits-updates-june-2024,"Landing-page stub for June 2024 Circuits updates on transformer-circuits.pub; Preliminary interpretability observations shared informally; Anthropic Circuits team monthly roundup; Content lives off the blog itself.",L,L,L,interpretability-updates
ant-r-circuits-updates-april-2024,"Landing-page stub for April 2024 Circuits updates (off-site transformer-circuits.pub); Informal preliminary ideas from the interpretability team; Monthly mini-report format; Use external link for research content.",L,L,L,interpretability-updates
ant-r-probes-catch-sleeper-agents,"Introduces 'defection probes': simple linear classifiers on residual-stream activations that predict when a sleeper-agent LLM will defect; AUROC above 99% using generic contrast pairs (e.g. 'Are you doing something dangerous? yes/no') regardless of trigger or behavior; Shows whether an input will induce defection is linearly encoded with high salience in sleeper-agent activations; Probes generalize across triggers and dangerous behaviors; Early promising signal for AI-control style monitors.",H,H,H,
ant-r-transformer-circuits,"Meta-essay ('Reflections on Qualitative Research') arguing interpretability research is more qualitative than other ML fields; Describes heuristics for good taste in qualitative interpretability work; Short framing piece with content on transformer-circuits.pub; Limited concrete method; Useful for newcomers to mechanistic interpretability methodology.",M,M,L,interpretability-methodology
ant-r-sleeper-agents-training-deceptive-llms-that-persist-through-safety-training,"Builds proof-of-concept deceptive LLMs (e.g. writes secure code when year=2023, vulnerable code when year=2024) and shows safety training fails to remove backdoors; Persistence is highest in largest models and in chain-of-thought-trained backdoors, even after CoT is distilled away; Adversarial training hides rather than removes the bad behavior; Foundational AI-safety paper; Motivates interpretability-based detection.",H,H,M,
ant-r-studying-large-language-model-generalization-with-influence-functions,"Scales influence functions to 52B-parameter LLMs using EK-FAC approximation with TF-IDF filtering and query batching; Uses them to study generalization: sparsity of influence, increasing abstraction with scale, math/programming, cross-lingual transfer, role-play; Finds a surprising limit: influence decays to near-zero when key phrase order is flipped; Provides a new empirical tool for studying what training data shaped model outputs.",H,H,M,
ant-r-circuits-updates-may-2023,"Landing-page stub for May 2023 Circuits updates (external transformer-circuits.pub); Anthropic interpretability team informal monthly roundup; No detailed content on the blog page itself.",L,L,L,interpretability-updates
ant-r-distributed-representations-composition-superposition,"Essay clarifying that 'distributed representations' contain two distinct ideas with a fundamental trade-off: composition (features combine linearly) vs superposition (more features than neurons via interference); Uses Thorpe (1989) shape-color examples to position local/semi-local/semi-distributed/highly-distributed along two axes, not one; Important conceptual framing for mech interp and SAEs; Extends the superposition paper's discussion.",H,M,L,
ant-r-superposition-memorization-and-double-descent,"Extends superposition work to limited-data regime: overfitting corresponds to storing data points (not features) in superposition; Two regimes—overfit (points) vs generalize (features)—with double-descent at transition; Toy ReLU models connect memorization, overfitting, and superposition mechanistically; Provides mechanistic account for double descent phenomenon; Foundational for interpretability understanding of memorization.",H,H,L,
ant-r-discovering-language-model-behaviors-with-model-written-evaluations,"Uses LMs to automatically generate 154 yes/no behavioral eval datasets with 90-100% label agreement; Discovers new inverse-scaling behaviors: larger models are more sycophantic, want resource-acquisition, express goal-preservation; Finds inverse-scaling from RLHF (stronger political views, more shutdown-avoidance); Demonstrates LM-written evals as a scalable tool for behavior discovery; Influential methodology paper.",H,H,H,
ant-r-measuring-progress-on-scalable-oversight-for-large-language-models,"Empirical scalable-oversight framework using tasks where specialists succeed but unaided humans/current AIs fail; Proof-of-concept on MMLU and time-limited QuALITY shows humans chatting with unreliable LLM beat both the model alone and their own unaided performance; Establishes viable experimental paradigm for future scalable-oversight research; Foundational methodology paper, not flashy new techniques.",H,M,M,
ant-r-toy-models-of-superposition,"Foundational paper: small ReLU networks trained on sparse synthetic features represent more features than they have dimensions ('superposition'); Shows superposition enables compression when features are sparse at cost of interference; Kicks off modern mechanistic-interpretability research program; Origin of SAE-based dictionary learning; Canonical read for interpretability researchers.",H,H,L,
ant-r-scaling-laws-and-interpretability-of-learning-from-repeated-data,"Systematic study of training on repeated data; Small fraction (0.1%) of data repeated 100x can degrade an 800M model to the level of a 400M model; Strong double-descent phenomenon with a narrow 'damaging' repetition frequency band; Mechanistically, repetition disproportionately damages copying/induction-head circuits and shifts from generalization to memorization; Important for dataset curation and deduplication practice.",H,H,H,
ant-r-training-a-helpful-and-harmless-assistant-with-reinforcement-learning-from-human-feedback,"Classic Anthropic RLHF paper: preference modeling + RL to make helpful, harmless assistants; Alignment training improves performance on almost all NLP evals and is compatible with specialized skills; Iterated online RLHF with weekly cadence of fresh data yields continuous improvements; Identifies roughly linear relation between RL reward and sqrt(KL divergence from init); Foundational RLHF reference alongside OpenAI's InstructGPT.",H,M,M,
ant-r-in-context-learning-and-induction-heads,"Short Anthropic landing page for 'In-context Learning and Induction Heads'; Foundational mechanistic-interpretability paper linking in-context learning capability to induction-head attention circuits; Blog page itself has minimal content—substance in the external paper/transformer-circuits post; Canonical reference for understanding how transformers learn to copy/predict from context.",H,H,L,interpretability-foundations
ant-r-predictability-and-surprise-in-large-generative-models,"Policy-oriented paper highlighting a counterintuitive pairing in LLMs: predictable loss via scaling laws coexists with unpredictable emergent capabilities; Argues this asymmetry drives rapid deployment while making safe governance hard; Includes two novel experiments illustrating harms from unpredictability; Proposes interventions for AI community; Intended for policymakers, technologists, and academics—not a capabilities paper.",H,M,M,ai-policy-and-forecasting
ant-r-a-mathematical-framework-for-transformer-circuits,"Short landing stub pointing to the foundational 'Mathematical Framework for Transformer Circuits' paper; Introduces the residual-stream view, composition of attention heads, and circuit-analysis formalism for transformers; Basis for essentially all later Anthropic interpretability work including induction heads; Blog page itself minimal—read the paper; Essential read for mechanistic interpretability.",H,H,L,interpretability-foundations
cur-r-cursorbench,"Cursor describes CursorBench: an internal coding-agent eval built from real Cursor sessions via 'Cursor Blame' (tracing commits back to agent requests); Argues public benchmarks suffer alignment, grading, and contamination problems (OpenAI stopped reporting SWE-bench Verified over this); CursorBench-3 has ~2x scope of earlier versions, real monorepos, and underspecified prompts; Supplements offline bench with controlled online A/B evals on live traffic; Useful methodology template for product-aligned coding evals.",H,H,H,
dsk-r-deepseek-coder,"DeepSeek-Coder: family of code LLMs (1B/5.7B/6.7B/33B) trained from scratch on 2T tokens (87% code, 13% NL in English+Chinese); 16K context with fill-in-the-blank; SOTA open-source performance on HumanEval, MultiPL-E, MBPP, DS-1000, APPS; Project-level pretraining corpus supports cross-file completion; Repo with models and demo; Foundational open coding model release.",H,M,H,
dsk-r-deepseek-llm,"DeepSeek LLM 7B/67B base+chat release; 67B Base outperforms Llama-2 70B on reasoning, coding, math, and Chinese; 67B Chat hits HumanEval pass@1 73%+ and surpasses GPT-3.5 on several benchmarks; Open source under permissive license; Written as 'Scaling Open-Source Language Models with Longtermism'; Early DeepSeek milestone preceding V2/V3/R1.",H,M,M,
dsk-r-deepseek-math,"DeepSeekMath 7B pushes open-model math reasoning: 51.7% on competition MATH (close to GPT-4/Gemini-Ultra) via continued pretraining from DeepSeek-Coder on a large math corpus; Introduces GRPO RL method (later reused in R1); Surpasses Minerva 540B while being dramatically smaller; Covers self-contained solutions, tool use, and formal theorem proving; Influential open math model.",H,H,H,
dsk-r-deepseek-math-v2,"DeepSeekMath-V2 targets self-verifiable mathematical reasoning rather than final-answer accuracy alone; Trains an LLM verifier and uses it as a reward model for a proof generator incentivized to self-critique; Achieves gold-level scores on IMO 2025 and CMO 2024, and 118/120 on Putnam 2024; Argues final-answer RL saturates AIME/HMMT without ensuring correct reasoning; Release includes inference code and models.",H,H,M,
dsk-r-janus,"Janus-series: unified multimodal understanding and generation models that decouple visual encoding into separate pathways inside one autoregressive transformer; Janus-Pro-7B improves over Janus with larger model, more data, and optimized training, beating prior unified models and diffusion baselines on text-to-image benchmarks; JanusFlow variant uses rectified flow; Open-source models and demos available on HF; Strong signal for unified vision-language architectures from DeepSeek.",H,H,M,
hf-r-falconmamba,"Falcon Mamba 7B (TII) is the first general-purpose large-scale pure Mamba (attention-free SSM) model; Competitive with leading 7B transformers and hybrid SSMs on IFEval/BBH/MATH/GPQA/MUSR/MMLU-PRO; Constant memory and per-token time regardless of context length (fits on single A10 24GB); Trained on ~5500GT of curated data; Released under TII Falcon Mamba 7B license with HF Transformers support; Major data point on attention-free viability.",H,H,M,
hf-r-mixtral,"Mixtral 8x7B launch blog: Mistral's sparse MoE (8 experts, 2 active per token) decodes at 12B-dense speed but has 4x effective params; 32K context, Apache 2.0; Matches or beats Llama-2 70B and GPT-3.5 on several benchmarks; HF integrations: Transformers, TGI, TRL, 4-bit and GPTQ quantization; Canonical open-MoE reference release.",H,M,H,
hf-r-open-llm-leaderboard-drop,"Deep-dive explaining why DROP scores on the Open LLM Leaderboard were mysteriously low (<10 for most models); Root causes: number normalization breaking on non-space whitespace, and f1-on-bag-of-words penalizing long answers and wrong generation-end tokens; Found floating-point answers were never correctly scored; Shows generation-endpoint token choice was a major bug; Concrete case study in benchmark-evaluation pitfalls.",M,H,M,
hf-r-Lora-for-sequence-classification-with-Roberta-Llama-Mistral,"Tutorial comparing LoRA fine-tuning of RoBERTa-large (355M), Llama-2-7B, and Mistral-7B on disaster-tweet classification; Single-node A6000 48GB setup with PEFT/LoRA config for each; Covers weighted-loss custom Trainer, hyperparameter tuning, and final accuracy/F1 comparisons; Practical PEFT walkthrough rather than novel research; Useful onboarding for classification fine-tuning.",M,L,H,
