id,new_focus_area,new_subcategory,summary
ant-r-towards-understanding-sycophancy-in-language-models,alignment-and-safety,reward-hacking-and-sycophancy,"Investigates whether RLHF drives sycophancy — models favoring user beliefs over truthful responses; Shows five SOTA assistants consistently exhibit sycophantic behavior across four free-form text tasks; Analyzing human preference data reveals that responses matching user views are more likely to be preferred, and humans/PMs sometimes prefer convincing-but-sycophantic answers over correct ones; Optimizing against preference models can trade truthfulness for sycophancy; Canonical paper on sycophancy as a systematic RLHF failure mode."
ant-r-decomposing-language-models-into-understandable-components,interpretability,saes-and-dictionary-learning,"Companion post to 'Towards Monosemanticity': argues features (linear combos of neurons from dictionary learning) are a better unit of analysis than individual neurons; Decomposes a small transformer's 512-neuron layer into ~4000 interpretable features (DNA, legal text, HTTP requests, etc.); Validates interpretability via blinded human and autointerpretability scoring, and shows steering effects from feature activation; Finds features are largely universal across models, with a 'knob' for resolution; Flagship early mechanistic interpretability result."
ant-r-towards-monosemanticity-decomposing-language-models-with-dictionary-learning,interpretability,saes-and-dictionary-learning,"Original 'Towards Monosemanticity' paper applying dictionary learning (SAEs) to small transformers; Decomposes a 512-neuron layer into 4000+ features corresponding to distinct concepts (DNA, Hebrew, HTTP requests, legal text, etc.); Establishes SAEs as a foundational technique for mechanistic interpretability; Features are invisible when looking at neurons in isolation due to superposition; Seminal work that set the agenda for subsequent Anthropic interpretability research."
ant-r-evaluating-ai-systems,evals-and-benchmarks,benchmark-critique,"Policy-oriented reflection on why robust AI evaluations are hard to build; Walks through challenges at escalating difficulty: multiple-choice (MMLU, BBQ), third-party frameworks (BIG-bench, HELM), crowdworker red-teaming, expert national-security red-teaming, and LLM-as-evaluator; Concrete examples: prompt-format sensitivity changing MMLU accuracy ~5%, BBQ bias-score misinterpretation when models weren't answering at all; Concludes with policy recommendations for governance; Foundational critique of evaluation methodology."
ant-r-influence-functions,interpretability,feature-viz-and-probing,"Scales influence functions (a classical stat technique) to LLMs up to 52B parameters to identify which training examples most shape a given output; Uses efficient inverse-Hessian-vector product approximations and gradient-of-candidate-examples to avoid prohibitive retraining costs; Finds generalization becomes more abstract with scale — 52B model surfaces conceptually related examples rather than token overlaps; Cross-lingual influence strengthens with scale; influence distribution is power-law but diffuse (not pure memorization); Top-down complement to mechanistic interpretability; influence can also be localized within network layers."
ant-r-measuring-faithfulness-in-chain-of-thought-reasoning,alignment-and-safety,safety-research-general,"Investigates whether CoT reasoning faithfully explains model predictions by intervening on the CoT (adding mistakes, paraphrasing) and observing answer changes; Finds large variation across tasks — sometimes models rely heavily on CoT, sometimes they mostly ignore it; CoT's performance gain is not explained solely by extra test-time compute or specific phrasing; Crucially, larger more capable models produce LESS faithful CoT on most tasks studied; Implies CoT monitoring for safety can work only when model size and task are carefully chosen."
ant-r-towards-measuring-the-representation-of-subjective-global-opinions-in-language-models,alignment-and-safety,safety-research-general,"Builds GlobalOpinionQA (from cross-national surveys) and a similarity metric to measure whose opinions LLM responses most resemble, conditional on country; By default, a Constitutional-AI trained model is most similar to US and some European/South American populations; Prompting for a country's perspective shifts responses toward that population but can amplify harmful cultural stereotypes; Translating questions to a target language does not reliably align responses with speakers of that language; Releases dataset and interactive visualization; frames global-opinion representation as an alignment/societal-impact concern."
ant-r-interpretability-dreams,interpretability,saes-and-dictionary-learning,"Short essay framing Anthropic interpretability team's long-term aspirations and motivations; Focuses on overcoming superposition as the foundational challenge, and lays out a vision for scaling mechanistic interpretability to large networks; Positions prior foundational work as preparation for a broader scalable interpretability program; Clarifies why seemingly-intractable problems (analyzing massive networks) might be tractable mechanistically; Useful context document for Anthropic interpretability agenda."
ant-r-the-capacity-for-moral-self-correction-in-large-language-models,alignment-and-safety,safety-research-general,"Tests whether RLHF-trained LLMs can 'morally self-correct' — avoiding harmful outputs when explicitly instructed; Finds strong evidence across three experiments that the capability emerges around 22B parameters and improves with scale and RLHF training; Attributes emergence to two capabilities: instruction-following and learning complex normative concepts (bias, stereotyping, discrimination); Frames results as cautious optimism for training models to follow ethical principles via instruction; Early work on alignment via natural-language principles."
ant-r-language-models-mostly-know-what-they-know,alignment-and-safety,safety-research-general,"Studies LLM calibration and self-evaluation — whether models can predict which questions they'll answer correctly; Larger models are well-calibrated on multiple-choice/true-false with correct formatting; P(True) self-evaluation (model rates own answer's validity) scales well across tasks, especially when allowing multiple candidate samples; P(IK) (model predicts 'I know' before answering) works on familiar tasks but struggles to calibrate on new ones; P(IK) increases appropriately with relevant context or hints; Foundational for honesty/truthfulness alignment directions."
ant-r-softmax-linear-units,pretraining-and-architecture,architectures,"Proposes Softmax Linear Units (SoLU), an MLP activation function replacement that substantially increases the fraction of interpretable neurons at minimal ML-performance cost; Validated via blinded human interpretability ratings showing many more neurons correspond to articulable features/categories; Caveats: SoLU may be 'hiding' features in superposition while making others visible — no free lunch; Architectural intervention aimed explicitly at interpretability, not capability; Early mechanistic-interpretability-meets-architecture contribution."
tm-r-on-policy-distillation,post-training-and-fine-tuning,distillation,"Thinking Machines post on on-policy distillation: sampling trajectories from the student model and using a strong teacher to grade each token, combining RL's on-policy relevance with distillation's dense reward; Contrasts off-policy SFT distillation (teacher trajectories, suffers from distribution shift) vs. on-policy RL (sparse reward); Uses reverse KL per-token loss and the Tinker training API; Replicates Qwen3's reasoning result at a fraction of RL cost and applies method to math reasoning and assistant training with domain knowledge; Inspired by DAGGER and process reward modeling."
tm-r-modular-manifolds,pretraining-and-architecture,scaling-and-training-dynamics,"Thinking Machines research on constraining weight matrices to submanifolds during training for healthier large-model training; Proposes a manifold version of Muon whose weights are kept on the Stiefel manifold (unit condition number matrices); Introduces 'modular manifolds' as composable constraint primitives to scale up networks; Argues weight normalization can make update sizes interpretable, prevent norm explosion, aid hyperparameter tuning, support Lipschitz guarantees; Research-agenda-style post with open directions."
tm-r-defeating-nondeterminism-in-llm-inference,pretraining-and-architecture,training-stack,"Thinking Machines post debunking the 'concurrency + floating point' hypothesis for LLM inference nondeterminism; Shows deterministic matmul on GPUs is bitwise-stable, so nondeterminism must come elsewhere; Identifies kernel implementations — particularly batch-size- and sequence-length-dependent reduction orders — as the real culprit; Walks through how to build truly deterministic inference (reproducible results from vLLM/SGLang-style servers); Systems/training-stack-adjacent work relevant to inference infra and reproducibility."
oai-r-gdpval,evals-and-benchmarks,benchmark-release,"Introduces GDPval, a benchmark of 1,320 economically-valuable tasks (220 in an open gold set) across 44 occupations in the top 9 US GDP industries; Tasks drawn from real professional work products (legal briefs, engineering blueprints, nursing care plans, etc.) vetted by experts with 14+ years experience; Goes beyond academic benchmarks (MMLU, SWE-Bench) to economically realistic knowledge work; One-shot only in v1; deliverables span docs, slides, spreadsheets, diagrams, multimedia; Intended to ground discussions of AI's real-world capability and economic impact."
oai-r-ai-and-efficiency,pretraining-and-architecture,scaling-and-training-dynamics,"OpenAI analysis showing algorithmic efficiency in training doubles every ~16 months on ImageNet (AlexNet-level requires 44x less compute in 2019 than 2012); Beats Moore's Law (~11x over same period) and suggests algorithmic progress outpaces hardware for well-invested AI tasks; Similar doubling rates observed in translation (Transformer vs seq2seq), Go (AlphaZero), Dota (OpenAI Five); Policy implications: tracking compute-efficiency as an AI-progress measure; Canonical scaling-laws-adjacent reference."
oai-r-third-person-imitation-learning,post-training-and-fine-tuning,sft-and-instruction-tuning,"2017 OpenAI paper on unsupervised third-person imitation learning for RL — learning a task from observing a teacher in a different viewpoint without state correspondence; Uses domain-confusion techniques to produce viewpoint-agnostic features; Addresses difficulty of collecting first-person demonstrations for robotics/RL; Experiments on pointmass, reacher, inverted pendulum domains; Historical classical-RL imitation-learning work."
oai-r-reptile,post-training-and-fine-tuning,sft-and-instruction-tuning,"Reptile: a simple first-order meta-learning algorithm — repeatedly sample a task, SGD on it, move initialization toward the trained weights; Similar to first-order MAML but only needs black-box access to an SGD/Adam optimizer, with less computation/memory; Analysis via Taylor expansion shows Reptile maximizes inner-product of gradients from different minibatches of the same task (improved generalization); Matches MAML on Omniglot and Mini-ImageNet few-shot benchmarks; Influential meta-learning / initialization-finding method."
oai-r-adversarial-attacks-on-neural-network-policies,alignment-and-safety,red-teaming-and-jailbreaking,"Shows adversarial-example crafting techniques developed for image classifiers also significantly degrade test-time performance of neural-network RL policies; Threat model: small perturbations to raw policy input (imperceptible to humans); Characterizes vulnerability across tasks and training algorithms in both white-box and black-box settings; Significant performance drops regardless of task or algorithm; Foundational paper extending adversarial-robustness concerns to reinforcement learning agents."
oai-r-learning-complex-goals-with-iterated-amplification,alignment-and-safety,scalable-oversight,"Proposes iterated amplification: generating training signals for tasks beyond direct human judgment by decomposing them into simpler sub-tasks; Humans (or algorithms) give supervision on small pieces; an AI trained on those pieces is then used to help humans solve larger pieces, iteratively bootstrapping training signal; Related to expert iteration (AlphaGo Zero) and AI-safety-via-debate; Initial experiments on toy algorithmic tasks (shortest path, union find, etc.) match supervised-learning performance without direct labels; Seminal scalable oversight proposal by Christiano & Amodei."
oai-r-ai-safety-needs-social-scientists,alignment-and-safety,safety-research-general,"Argues long-term AI alignment research needs social scientists, not just ML researchers, to properly study human value elicitation; Human answers to value questions are unreliable due to cognitive biases and reflective inconsistencies; proposes human-only experiments (e.g., debate with two human debaters + human judge) to stress-test alignment methods; Calls for collaboration with experimental psychology, cognitive science, economics, political science, neuroscience, law; Accompanies a paper and an OpenAI hiring push; Position piece shaping alignment methodology."
oai-r-computational-limitations-in-robust-classification-and-win-win-results,alignment-and-safety,safety-research-general,"Extends Bubeck et al.'s work on computational/statistical tradeoffs in robust classification; Shows classification tasks where computationally-efficient robust classifiers are impossible even though unbounded robust classifiers exist, relying on average-case hard functions; Also shows large-perturbation-robust classifiers exist but are computationally hard to learn (relying on one-way functions and Learning Parity with Noise); Any such counterexample implies cryptographic primitives — 'win-win' scenario; Theoretical adversarial-robustness result with cryptographic connections."
oai-r-forecasting-misuse,alignment-and-safety,responsible-scaling-and-policy,"OpenAI + Georgetown CSET + Stanford Internet Observatory report on LLM misuse for disinformation/influence operations; Analyzes impact on actors (lower cost, new entrants), behaviors (scaled and personalized content), and content (more persuasive, harder to detect); Proposes a four-stage mitigation framework (model construction, model access, content dissemination, belief formation) with illustrative interventions at each stage; Suggests even restricted proprietary models won't prevent misuse via open-source alternatives and nation-state investment; Influential policy/governance piece on misuse risk."
oai-r-on-first-order-meta-learning-algorithms,post-training-and-fine-tuning,sft-and-instruction-tuning,"Formal paper accompanying Reptile: analyzes first-order meta-learning algorithms that only use first-order derivatives for meta-updates; Generalizes first-order MAML and introduces Reptile (sample task, train, move initialization toward trained weights); Theoretical analysis of why these simple algorithms work on few-shot classification benchmarks; Meta-learning foundations paper."
oai-r-instruction-following,post-training-and-fine-tuning,rlhf-classic,"InstructGPT: fine-tunes GPT-3 via RLHF (supervised fine-tuning, reward model from human comparisons, PPO) to follow user instructions while being more truthful and less toxic; Labelers prefer 1.3B InstructGPT outputs over 175B GPT-3 despite >100x fewer params; Addresses 'alignment tax' by mixing in pretraining data during RL; Deployed as default API models at the time; Canonical reference for RLHF applied to instruction-following language models."
oai-r-trading-inference-time-compute-for-adversarial-robustness,alignment-and-safety,capability-evals-for-safety,"OpenAI paper showing reasoning models (o1-preview, o1-mini) become more robust to adversarial attacks as they spend more inference-time compute; Tests across math tasks, adversarial SimpleQA (prompt injection in browsed pages), adversarial images, StrongREJECT misuse prompts, and a model-spec rule eval; Attack surfaces include many-shot, soft-token optimization, LMP red-teaming, multimodal; For most settings attacker success decays (often to near-zero) as inference compute grows; Limitations: some tasks need a minimum compute threshold; attackers can sometimes prevent the model from 'thinking'; Evidence that test-time reasoning is a promising robustness lever."
oai-r-solving-math-word-problems,evals-and-benchmarks,reasoning-evals,"Introduces GSM8K dataset (8.5K grade-school math word problems, 2-8 reasoning steps); Trains verifiers that rank 100 candidate solutions, selecting the highest-rated — gives roughly a 30x effective-model-size boost (6B verifier beats fine-tuned 175B); Demonstrates that verification scales better with data than pure fine-tuning; Canonical reasoning benchmark + a precursor to process-reward-modeling and best-of-N approaches; Matters for evaluating and improving multistep mathematical reasoning in LLMs."
oai-r-transfer-of-adversarial-robustness-between-perturbation-types,alignment-and-safety,capability-evals-for-safety,"Studies whether adversarial robustness transfers across perturbation types (beyond typical L_inf and L_2 work); Evaluates 32 attacks of 5 different types on ImageNet-100 adversarially-trained models; Robustness to one type doesn't always imply (and can sometimes hurt) robustness to others; Recommends evaluating defenses across a diverse range of perturbation types and sizes; Vision-era adversarial robustness evaluation methodology paper."
oai-r-improving-model-safety-behavior-with-rule-based-rewards,alignment-and-safety,constitutional-and-self-critique,"Rule-Based Rewards (RBRs): an alternative/complement to RLHF for safety behavior alignment; Uses explicit propositions ('is judgmental', 'contains disclaimer') and response categories (hard refusal, soft refusal, comply) scored by a fixed grader LM; RBR rewards combined with a helpful-only reward model during PPO; Achieves safety comparable to human-feedback training while reducing overrefusal; Used in GPT-4 / GPT-4o mini safety stacks; Adapts quickly to new policies without recollecting human data."
oai-r-a-hazard-analysis-framework-for-code-synthesis-large-language-models,alignment-and-safety,responsible-scaling-and-policy,"Proposes a hazard analysis framework for code-synthesis LLMs like Codex, covering technical, social, political, and economic risks; Includes a novel evaluation framework measuring code-gen capability against specification complexity and expressivity relative to human ability; Discusses alignment problems, misuse potential, and destabilizing impacts on technical fields; Early safety-policy treatment of code-generation models predating modern agentic coding; Relevant reference for responsible-scaling-style deployment analysis of coding LLMs."
