id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
qw-r-qwen2.5-llm,qwen,China,research,Qwen2.5-LLM: Extending the boundary of LLMs,https://qwenlm.github.io/blog/qwen2.5-llm/,2024-09-19,Qwen Team,TRUE,
qw-r-qwen2.5-coder,qwen,China,research,"Qwen2.5-Coder: Code More, Learn More!",https://qwenlm.github.io/blog/qwen2.5-coder/,2024-09-19,Qwen Team,TRUE,
qw-r-qwen2.5-math,qwen,China,research,Qwen2.5-Math: The world's leading open-sourced mathematical LLMs,https://qwenlm.github.io/blog/qwen2.5-math/,2024-09-19,Qwen Team,TRUE,
qw-r-qwen2-vl,qwen,China,research,Qwen2-VL: To See the World More Clearly,https://qwenlm.github.io/blog/qwen2-vl/,2024-08-29,Qwen Team,TRUE,
qw-r-qwen2-audio,qwen,China,research,Qwen2-Audio: Chat with Your Voice!,https://qwenlm.github.io/blog/qwen2-audio/,2024-08-09,Qwen Team,TRUE,
qw-r-qwen2-math,qwen,China,research,Introducing Qwen2-Math,https://qwenlm.github.io/blog/qwen2-math/,2024-08-08,Qwen Team,TRUE,
qw-r-qwen2,qwen,China,research,Hello Qwen2,https://qwenlm.github.io/blog/qwen2/,2024-06-07,Qwen Team,TRUE,
qw-r-qwen-agent-2405,qwen,China,research,Generalizing an LLM from 8k to 1M Context using Qwen-Agent,https://qwenlm.github.io/blog/qwen-agent-2405/,2024-06-06,Qwen Team,TRUE,
qw-r-qwen-max-0428,qwen,China,research,Notes on Qwen-Max-0428,https://qwenlm.github.io/blog/qwen-max-0428/,2024-05-11,Qwen Team,TRUE,
qw-r-qwen1.5-110b,qwen,China,research,Qwen1.5-110B: The First 100B+ Model of the Qwen1.5 Series,https://qwenlm.github.io/blog/qwen1.5-110b/,2024-04-25,Qwen Team,TRUE,
qw-r-codeqwen1.5,qwen,China,research,Code with CodeQwen1.5,https://qwenlm.github.io/blog/codeqwen1.5/,2024-04-16,Qwen Team,TRUE,
qw-r-qwen1.5-32b,qwen,China,research,Qwen1.5-32B: Fitting the Capstone of the Qwen1.5 Language Model Series,https://qwenlm.github.io/blog/qwen1.5-32b/,2024-04-02,Qwen Team,TRUE,
qw-r-qwen-moe,qwen,China,research,Qwen1.5-MoE: Matching 7B Model Performance with 1/3 Activated Parameters,https://qwenlm.github.io/blog/qwen-moe/,2024-03-28,Qwen Team,TRUE,
qw-r-qwen1.5,qwen,China,research,Introducing Qwen1.5,https://qwenlm.github.io/blog/qwen1.5/,2024-02-04,Qwen Team,TRUE,
qw-r-qwen-vl,qwen,China,research,Introducing Qwen-VL,https://qwenlm.github.io/blog/qwen-vl/,2024-01-25,Qwen Team,TRUE,
qw-r-qwen,qwen,China,research,Introducing Qwen,https://qwenlm.github.io/blog/qwen/,2024-01-23,Qwen Team,TRUE,
qw-r-ofa,qwen,China,research,OFA: Towards Building a One-For-All Model,https://qwenlm.github.io/blog/ofa/,2022-11-14,Qwen Team,TRUE,
qw-r-https:,qwen,China,research,Blog,https://qwenlm.github.io/blog/,2025-09-23,Qwen Team,TRUE,
qw-r-ofasys,qwen,China,research,OFASys: Enabling Multitask Learning with One Line of Code!,https://qwenlm.github.io/blog/ofasys/,2022-12-28,Qwen Team,TRUE,
qw-r-chinese-clip,qwen,China,research,Chinese CLIP: Contrastive Vision-Language Pretraining in Chinese,https://qwenlm.github.io/blog/chinese-clip/,2022-12-24,Qwen Team,TRUE,
