id,company,focus_area,subcategory,title,url,signal_priority
oai-r-dota-2-with-large-scale-deep-reinforcement-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Dota 2 with large scale deep reinforcement learning,https://openai.com/index/dota-2-with-large-scale-deep-reinforcement-learning/,7.7
oai-r-ffjord,openai,pretraining-and-architecture,research-techniques-and-methods,FFJORD: Free-form continuous dynamics for scalable reversible generative models,https://openai.com/index/ffjord/,7.7
oai-r-variational-option-discovery-algorithms,openai,pretraining-and-architecture,research-techniques-and-methods,Variational option discovery algorithms,https://openai.com/index/variational-option-discovery-algorithms/,7.7
oai-r-multi-goal-reinforcement-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Multi-Goal Reinforcement Learning: Challenging robotics environments and request for research,https://openai.com/index/multi-goal-reinforcement-learning/,7.7
oai-r-asymmetric-actor-critic-for-image-based-robot-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Asymmetric Actor Critic For Image Based Robot Learning,https://openai.com/index/asymmetric-actor-critic-for-image-based-robot-learning/,7.7
oai-r-on-the-quantitative-analysis-of-decoder-based-generative-models,openai,pretraining-and-architecture,research-techniques-and-methods,On the quantitative analysis of decoder-based generative models,https://openai.com/index/on-the-quantitative-analysis-of-decoder-based-generative-models/,7.7
oai-r-domain-randomization-and-generative-models-for-robotic-grasping,openai,pretraining-and-architecture,research-techniques-and-methods,Domain randomization and generative models for robotic grasping,https://openai.com/index/domain-randomization-and-generative-models-for-robotic-grasping/,7.7
oai-r-rl2,openai,pretraining-and-architecture,research-techniques-and-methods,RL²: Fast reinforcement learning via slow reinforcement learning,https://openai.com/index/rl2/,7.7
oai-r-better-exploration-with-parameter-noise,openai,pretraining-and-architecture,research-techniques-and-methods,Better exploration with parameter noise,https://openai.com/index/better-exploration-with-parameter-noise/,7.7
oai-r-teacher-student-curriculum-learning,openai,pretraining-and-architecture,data-and-tokenization,Teacher–student curriculum learning,https://openai.com/index/teacher-student-curriculum-learning/,7.7
oai-r-exploration,openai,pretraining-and-architecture,research-techniques-and-methods,#Exploration: A study of count-based exploration for deep reinforcement learning,https://openai.com/index/exploration/,7.7
oai-r-stochastic-neural-networks-for-hierarchical-reinforcement-learning,openai,pretraining-and-architecture,research-techniques-and-methods,Stochastic Neural Networks for hierarchical reinforcement learning,https://openai.com/index/stochastic-neural-networks-for-hierarchical-reinforcement-learning/,7.7
oai-r-evolution-strategies,openai,pretraining-and-architecture,research-techniques-and-methods,Evolution strategies as a scalable alternative to reinforcement learning,https://openai.com/index/evolution-strategies/,7.7
oai-r-improved-techniques-for-training-consistency-models,openai,pretraining-and-architecture,research-techniques-and-methods,Improved Techniques for Training Consistency Models,https://openai.com/index/improved-techniques-for-training-consistency-models/,7.7
oai-r-detecting-and-reducing-scheming-in-ai-models,openai,alignment-and-safety,deceptive-alignment,Detecting and reducing scheming in AI models,https://openai.com/index/detecting-and-reducing-scheming-in-ai-models/,7.7
oai-r-accelerating-science-gpt-5,openai,pretraining-and-architecture,research-techniques-and-methods,Early experiments in accelerating science with GPT-5,https://openai.com/index/accelerating-science-gpt-5/,7.7
oai-r-gpt-5-2-for-science-and-math,openai,pretraining-and-architecture,research-techniques-and-methods,Advancing science and math with GPT-5.2,https://openai.com/index/gpt-5-2-for-science-and-math/,7.7
oai-r-why-language-models-hallucinate,openai,pretraining-and-architecture,research-techniques-and-methods,Why language models hallucinate,https://openai.com/index/why-language-models-hallucinate/,7.7
oai-r-gpt-5-lowers-protein-synthesis-cost,openai,pretraining-and-architecture,research-techniques-and-methods,GPT-5 lowers the cost of cell-free protein synthesis,https://openai.com/index/gpt-5-lowers-protein-synthesis-cost/,7.7
oai-r-new-result-theoretical-physics,openai,pretraining-and-architecture,research-techniques-and-methods,GPT-5.2 derives a new result in theoretical physics,https://openai.com/index/new-result-theoretical-physics/,7.7
ant-e-a-postmortem-of-three-recent-issues,anthropic,harness-and-context-engineering,codex-and-sora-harness,A postmortem of three recent issues,https://www.anthropic.com/engineering/a-postmortem-of-three-recent-issues,7.6
ant-r-red-teaming-language-models-to-reduce-harms-methods-scaling-behaviors-and-lessons-learned,anthropic,alignment-and-safety,red-teaming-and-jailbreaking,"Red Teaming Language Models to Reduce Harms: Methods, Scaling Behaviors, and Lessons Learned",https://www.anthropic.com/research/red-teaming-language-models-to-reduce-harms-methods-scaling-behaviors-and-lessons-learned,7.6
cog-e-closing-the-agent-loop-devin-autofixes-review-comments,cognition,agentic-systems,coding-agents,Closing the Agent Loop: Devin Autofixes Review Comments,https://cognition.ai/blog/closing-the-agent-loop-devin-autofixes-review-comments,7.6
cog-e-devin-sonnet-4-5-lessons-and-challenges,cognition,agentic-systems,coding-agents,Rebuilding Devin for Claude Sonnet 4.5: Lessons and Challenges,https://cognition.ai/blog/devin-sonnet-4-5-lessons-and-challenges,7.6
cur-r-real-time-rl-for-composer,cursor,pretraining-and-architecture,training-stack,Improving Composer through real-time RL,https://cursor.com/blog/real-time-rl-for-composer,7.6
cur-r-self-summarization,cursor,pretraining-and-architecture,training-stack,Training Composer for longer horizons,https://cursor.com/blog/self-summarization,7.6
dbx-r-pilot-production-custom-judges,databricks,evals-and-benchmarks,judge-models-and-methodology,From Pilot to Production with Custom Judges,https://www.databricks.com/blog/pilot-production-custom-judges,7.6
dbx-e-fast-peft-serving-scale,databricks,quantization-and-efficiency,parameter-efficient-training,Fast PEFT Serving at Scale,https://www.databricks.com/blog/fast-peft-serving-scale,7.6
dbx-r-judging-confidence-meet-pgrm-promptable-reward-model,databricks,evals-and-benchmarks,judge-models-and-methodology,"Judging with Confidence: Meet PGRM, the Promptable Reward Model",https://www.databricks.com/blog/judging-confidence-meet-pgrm-promptable-reward-model,7.6
dbx-r-tao-using-test-time-compute-train-efficient-llms-without-labeled-data,databricks,post-training-and-fine-tuning,rlvr-verifiable-rewards,TAO: Using test-time compute to train efficient LLMs without labeled data,https://www.databricks.com/blog/tao-using-test-time-compute-train-efficient-llms-without-labeled-data,7.6
dbx-r-benchmarking-domain-intelligence,databricks,evals-and-benchmarks,eval-systems-and-harnesses,Benchmarking Domain Intelligence,https://www.databricks.com/blog/benchmarking-domain-intelligence,7.6
dbx-r-long-context-rag-capabilities-openai-o1-and-google-gemini,databricks,pretraining-and-architecture,foundation-model-releases,The Long Context RAG Capabilities of OpenAI o1 and Google Gemini,https://www.databricks.com/blog/long-context-rag-capabilities-openai-o1-and-google-gemini,7.6
