id,company,current_focus_area,current_subcategory,title,url
oai-r-a-connection-between-generative-adversarial-networks-inverse-reinforcement-learning-and-energy-based-models,openai,alignment-and-safety,fallback-alignment,"A connection between generative adversarial networks, inverse reinforcement learning, and energy-based models",https://openai.com/index/a-connection-between-generative-adversarial-networks-inverse-reinforcement-learning-and-energy-based-models/
oai-r-weight-normalization,openai,pretraining-and-architecture,fallback-architecture,Weight normalization: A simple reparameterization to accelerate training of deep neural networks,https://openai.com/index/weight-normalization/
oai-r-a-holistic-approach-to-undesired-content-detection-in-the-real-world,openai,pretraining-and-architecture,fallback-architecture,A Holistic Approach to Undesired Content Detection in the Real World,https://openai.com/index/a-holistic-approach-to-undesired-content-detection-in-the-real-world/
oai-r-learning-a-hierarchy,openai,pretraining-and-architecture,fallback-architecture,Learning a hierarchy,https://openai.com/index/learning-a-hierarchy/
oai-r-defining-and-evaluating-political-bias-in-llms,openai,pretraining-and-architecture,fallback-architecture,Defining and evaluating political bias in LLMs,https://openai.com/index/defining-and-evaluating-political-bias-in-llms/
oai-r-publication,openai,pretraining-and-architecture,fallback-architecture,OpenAI Research | Publication,https://openai.com/research/index/publication/
oai-r-improving-mathematical-reasoning-with-process-supervision,openai,pretraining-and-architecture,fallback-architecture,Improving mathematical reasoning with process supervision,https://openai.com/index/improving-mathematical-reasoning-with-process-supervision/
oai-r-frontier-ai-regulation,openai,alignment-and-safety,fallback-alignment,Frontier AI regulation: Managing emerging risks to public safety,https://openai.com/index/frontier-ai-regulation/
oai-r-practices-for-governing-agentic-ai-systems,openai,agentic-systems,agents-general,Practices for Governing Agentic AI Systems,https://openai.com/index/practices-for-governing-agentic-ai-systems/
oai-r-building-an-early-warning-system-for-llm-aided-biological-threat-creation,openai,alignment-and-safety,fallback-alignment,Building an early warning system for LLM-aided biological threat creation,https://openai.com/index/building-an-early-warning-system-for-llm-aided-biological-threat-creation/
oai-r-reasoning-models-chain-of-thought-controllability,openai,pretraining-and-architecture,fallback-architecture,"Reasoning models struggle to control their chains of thought, and that’s good",https://openai.com/index/reasoning-models-chain-of-thought-controllability/
